appid,title_new,rank_new,price_text_new,release_text_new
3259780,FINAL FANTASY RESONANCE,669,$49.99,"Oct 22, 2026"
4659620,Touhou Koumakyou: New Classic - the Embodiment of Scarlet Devil,1118,Unpriced (Coming Soon),"Sep 9, 2026"
1725710,Demi and the Fractured Dream,1965,Free,February 2027
3905010,ONE PIECE: Grand Gourmet,2154,$19.99,"Oct 22, 2026"
4753290,JUJUTSU KAISEN RUMBLE: SURVIVATON,2409,Unpriced (Coming Soon),2026
4771290,"Hands Up, G!",2695,Free,Coming soon
2676350,Pikuniku 2,2779,Free,Coming soon
2879790,Son of Thanjai,2944,Free,Coming soon
3040020,N PLUS INFINITY TIMES TWO,2955,Unpriced (Coming Soon),To be announced
2876290,Sojourn Past,2965,Unpriced (Coming Soon),2026
2766910,PengPong,2992,Unpriced (Coming Soon),2026
