appid,title_old,rank_old
1456830,Sea Dogs: Legendary Edition,1348
3869850,Welcome to the Game III,1350
904510,ARTIFICIAL,1351
1959280,Over Jump Rally,1352
4164790,Survival Log,1353
1148130,Divinum,1354
3121890,Erased,1355
3640840,LANDLORD,1357
3668300,The Shadow Syndicate,1358
4049170,Disney/Pixar Toy Story: Retro Roundup!,1359
2543660,Legends Of Elementia,1360
4492700,Mafia: The Old Country - Man of Honor,1361
2542310,Fatal Run 2089,1362
3764970,Mexican Ninja,1363
2242340,Car Rental Simulator,1364
2983860,ISO-CORE,1365
3170490,Cat Me If You Can,1367
3563470,RAEV: Kingdom on the Distant Shores,1368
1363400,No More Light,1369
2795590,Compensation Not Guaranteed,1370
3774860,BOMMY,1371
3758980,NO STRAIGHT ROADS 2,1372
1191960,Detective Simulator,1373
3804760,Feather's Edge,1374
1435900,Route 66 Simulator,1375
