appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
3216600,KINGDOM HEARTS IV,KINGDOM HEARTS IV,803,719,84,84,up,upward_spike,Free,Free,False,2027,2027,False
3817250,"CICADAMATA""","CICADAMATA""",897,835,62,62,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 21, 2026","Aug 21, 2026",False
4664840,In the Van,In the Van,1006,953,53,53,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4796830,WE ARE SO DEAD,WE ARE SO DEAD,512,462,50,50,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 17, 2026","Aug 17, 2026",False
1996090,Vapor World: Over The Mind,Vapor World: Over The Mind,737,690,47,47,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 18, 2026","Aug 18, 2026",False
4120790,The Sorting Bureau,The Sorting Bureau,1105,1066,39,39,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 21, 2026","Aug 21, 2026",False
2962780,BeastLink,BeastLink,805,770,35,35,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 18, 2026","Aug 18, 2026",False
4948000,Moo Who?,Moo Who?,671,640,31,31,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 21, 2026","Aug 21, 2026",False
4317790,Last Pirates: Die Together,Last Pirates: Die Together,419,390,29,29,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 18, 2026","Aug 18, 2026",False
4732690,Arknights: Endfield,Arknights: Endfield,785,759,26,26,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4738100,10 Million Pixels,10 Million Pixels,901,876,25,25,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4132330,Pizza House Simulator🍕,Pizza House Simulator🍕,960,935,25,25,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 19, 2026","Aug 19, 2026",False
3908940,Inferno Protocol,Inferno Protocol,869,848,21,21,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 28, 2026","Aug 28, 2026",False
