appid,title_new,rank_new,price_text_new,release_text_new
4144680,DEAD OR ALIVE 6 Last Round,999,$39.99,"Jun 24, 2026"
3869500,VOIMA,1306,Unpriced (Coming Soon),To be announced
4360160,Horse Race Tests: Life is Pain,2675,Free,Coming soon
4731620,Fortune Mill,2689,Unpriced (Coming Soon),"Jun 2, 2026"
3326670,Dreamstranded,2743,Unpriced (Coming Soon),May 2026
1061210,Trucker's Dynasty - Cuba Libre,2927,Unpriced (Coming Soon),To be announced
3932580,Diorama Break,2946,Unpriced (Coming Soon),To be announced
3401570,Abyss Ring,2950,Unpriced (Coming Soon),Q3 2026
3129790,Pocket Legend : Inventory Roguelike Deckbuilder,2953,Unpriced (Coming Soon),Q3 2026
2551590,Section Six Requiem,2997,Free,Coming soon
