snapshot_id,captured_at_utc,rank,appid,title,release_text,price_text,game_url,page_number,position_on_page,source_url,discount_text,review_summary,image_url,platforms,tags_raw
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,517,3841510,DYNASTY WARRIORS 3: Complete Edition Remastered,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/3841510/DYNASTY_WARRIORS_3_Complete_Edition_Remastered/,21,17,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=21,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,518,2348250,13Z: The Zodiac Trials,Q4 2026,Unpriced (Coming Soon),https://store.steampowered.com/app/2348250/13Z_The_Zodiac_Trials/,21,18,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=21,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,519,4244910,Horizon Hunters Gathering,Coming soon,Free,https://store.steampowered.com/app/4244910/Horizon_Hunters_Gathering/,21,19,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=21,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,520,2914820,M.I.N.S.K.,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/2914820/MINSK/,21,20,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=21,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,521,3012600,Substructure,Coming soon,Free,https://store.steampowered.com/app/3012600/Substructure/,21,21,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=21,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,522,1575990,Twisted Tower,Coming soon,Free,https://store.steampowered.com/app/1575990/Twisted_Tower/,21,22,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=21,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,523,2710740,Lost Legions,Coming soon,Free,https://store.steampowered.com/app/2710740/Lost_Legions/,21,23,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=21,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,524,4285690,Airport Security Sucks!,"Jun 5, 2026",Unpriced (Coming Soon),https://store.steampowered.com/app/4285690/Airport_Security_Sucks/,21,24,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=21,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,525,3245640,Starfinder: Afterlight,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/3245640/Starfinder_Afterlight/,21,25,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=21,,,,"win,linux",
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,526,1186430,I.G.I. Origins,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/1186430/IGI_Origins/,22,1,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,527,860210,Return to Nangrim,Coming soon,Free,https://store.steampowered.com/app/860210/Return_to_Nangrim/,22,2,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,528,4226770,"Warhammer 40,000: Rogue Trader - The Infinite Museion","Jun 11, 2026",Unpriced (Coming Soon),https://store.steampowered.com/app/4226770/Warhammer_40000_Rogue_Trader__The_Infinite_Museion/,22,3,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,"win,mac",
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,529,1792100,Motel Simulator,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/1792100/Motel_Simulator/,22,4,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,530,687440,In The Valley of Gods,December 2029,Free,https://store.steampowered.com/app/687440/In_The_Valley_of_Gods/,22,5,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,"win,mac,linux",
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,531,2893350,Liftlands,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/2893350/Liftlands/,22,6,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,532,4111570,Gate Guard Simulator,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/4111570/Gate_Guard_Simulator/,22,7,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,533,2987350,Catly,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/2987350/Catly/,22,8,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,534,4704690,MECCHA CHAMELEON,"Jun 9, 2026",Unpriced (Coming Soon),https://store.steampowered.com/app/4704690/MECCHA_CHAMELEON/,22,9,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,535,4112270,Resilient,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/4112270/Resilient/,22,10,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,536,4175180,DREADNOUGHT TARTARUS,Coming soon,Free,https://store.steampowered.com/app/4175180/DREADNOUGHT_TARTARUS/,22,11,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,537,2712590,Dragon Shelter,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/2712590/Dragon_Shelter/,22,12,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
ed4646ee-b0e8-41e3-aee7-3150432fe723,2026-05-26T19:21:52.701343+00:00,538,1207360,Medieval Frontiers,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/1207360/Medieval_Frontiers/,22,13,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=22,,,,win,
