appid,title_new,rank_new,price_text_new,release_text_new
2140540,Hellslinger,2597,Unpriced (Coming Soon),To be announced
3510740,Normal Golf Game,2780,Free,Coming soon
4678470,The Magician's Hand,2795,Unpriced (Coming Soon),To be announced
4198610,A Fighter’s Nova: Mindara,2954,Unpriced (Coming Soon),To be announced
3574200,HIPS N NOSES,2981,Free,Q1 2027
4024450,From Ruins – A Detective Adventure,2983,Free,2027
270470,Portal: Alive & Kicking,2992,Free,Coming soon
2786760,Another Door,2993,Unpriced (Coming Soon),2026
1066390,Chernobyl 1986,2994,Free,Coming soon
1655750,Uboat Mechanic Simulator,2995,Unpriced (Coming Soon),To be announced
