appid,title_old,rank_old
4194800,Starvester,790
2995670,Reaper Actual,811
4144680,DEAD OR ALIVE 6 Last Round,1005
3869500,VOIMA,1301
4515660,"Control, I'm Not Coming Back",1976
3070020,Automaton Heart,2296
4307340,Loli Ninja Village,2505
4149320,Don't Touch the Snail,2576
4360160,Horse Race Tests: Life is Pain,2680
3484850,Scam Center Simulator: UnderKingdom,2695
2418490,Trakonius,2854
1061210,Trucker's Dynasty - Cuba Libre,2929
3129790,Pocket Legend : Inventory Roguelike Deckbuilder,2955
3711170,SubZero,2960
