appid,title_old,rank_old
4094660,Rivage,281
3699590,Well Dweller,468
3208930,Galvatein : Adventurers' Guild,580
2538870,False Hero,741
3328490,Airport Control 27,919
2949750,Margin of the Strange,1155
3436160,Cao Cao's Ambition--A Harem of MILFs,1156
2666160,STARVEIL PROTOCOL A.A.A.,1157
3460960,Echograph,1158
2620450,Highreach,1159
2706400,A Silent Desolation,1160
3107530,Danchi Days,1161
4121600,Psychopomp 2,1162
1918830,The Time I Have Left,1163
3054550,Sil and the Fading World,1164
2790850,Wing Haven,1165
1905580,Kloa - Child of the Forest,1166
4628160,Speak,1167
2334930,DEEPEST FEAR™,1168
4234750,Kaiju Princess: Super Survivor Showdown,1169
575020,Outerra World Sandbox,1170
4417410,Rush B: Esports Manager,1171
3600170,Escape the Scam Compound,1172
2685100,NOIR BLOOM,1173
2175180,Primitive,1174
4004820,FreeStyle Football 2,1175
