appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
2985880,Farming Camp,Farming Camp,1033,1016,17,17,up,none,Unpriced (Coming Soon),$15.99,True,"Sep 24, 2026","Sep 24, 2026",False
3299050,No Such Place,No Such Place,467,459,8,8,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,"Oct 13, 2026",True
1167820,Airport Contraband,Airport Contraband,764,757,7,7,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Oct 9, 2026","Oct 28, 2026",True
4009490,Arctic Drive,Arctic Drive,1032,1026,6,6,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,November 2026,"Nov 25, 2026",True
3086590,"Gods, Death & Reapers","Gods, Death & Reapers",313,309,4,4,up,none,Free,Free,False,February 2027,Q1 2027,True
3660260,Out Fishing,Out Fishing,950,948,2,2,up,none,Free,Free,False,Coming soon,2027,True
