appid,title_old,rank_old
2261430,LumenTale: Memories of Trey,326
2982610,Stonemachia,494
2932150,Life Below,991
2330110,Yerba Buena,2084
3353800,Golden Swirl,2252
3454110,Starship Troopers: Terran Command - The Eradicators,2975
