appid,title_new,rank_new,price_text_new,release_text_new
4148930,F1® 25: 2026 Season Pack,760,Free,Coming soon
2753000,GOALS,846,Free,"Jun 4, 2026"
3910330,Mayak,2993,Free,2027
3564990,Vale's Echo,2996,Unpriced (Coming Soon),To be announced
3778610,Colorbound,2997,Unpriced (Coming Soon),2026
1334280,Elaborate Lands,2998,Unpriced (Coming Soon),To be announced
3271120,Dragon Khan,2999,Free,Coming soon
