appid,title_old,rank_old
4336170,Age of Empires IV: Raiders of the North,1284
3432860,Psycho-Sleuth,1799
2227100,Jerma's Big Adventure 2,1800
355750,Miegakure: Hide & Reveal,1802
3718500,The Bagman,1803
2640200,Project D████,1804
3936610,Monopoly: Star Wars™ Heroes vs. Villains,1805
3572800,Duo Quest,1806
4504970,AetherCycle,1807
2923140,Defcon Zero: Frontlines of Tomorrow,1808
1724080,Plastic,1809
3139290,Life of a Lonely Indie Game Developer,1810
2611240,Normal Fishing,1811
1313210,Nimoyd - Survival Sandbox,1812
3794210,Thousand Hells: The Underworld Heists,1813
1303090,Doctor Simulator,1814
4538960,ZENONIA 1,1815
2523380,Red Kiss,1816
1386720,Domynyo,1817
2007350,Cozy Room,1818
3880400,FRUKT,1819
1334230,Revolution: The Spark,1820
1761910,Athanasia,1821
2586440,House 2,1822
3867160,Rance Quest Magnum,1823
3673500,BACKROOMS,1824
