appid,title_old,rank_old
3979330,nophenia,690
4834070,Don't Sleep With The Fishes,1242
4521680,Painting PC,1513
2718320,Green Again,1901
3892510,Asterfel,1902
1936310,Sugoi Adventure! DragonSlayer,1903
1852510,Corsairs Legacy: Naval Mission - Pirate Action RPG,1904
3448070,BPM Bitcrushed,1905
2249060,Edenfall: Legacy of the First Wardens,1906
3933180,Torii: Beyond The Gates,1907
1993210,Abyssals,1908
4333200,Lost & Found: A This Bed We Made Story,1909
2005910,Olliefrog Toad Skater,1910
2211000,INANIMA,1911
2530250,PARKSIDE: DECAYED SOUL MANIPULATION,1912
792380,Survival Journals,1913
3601680,Slain 2: The Beast Within,1914
2618130,Partizan,1915
3966570,Spot Zero,1916
2871010,VanySlash,1917
3347910,Rat Game,1918
1368180,Wildekin,1919
2953540,Neverseas,1921
3265840,BioEden,1923
3053470,MR. RECORDS,1924
2946140,Windpunk,1925
1898110,MeetLight and the secrets of the universe,1926
1072910,Drill Man Rumble,1927
4327490,Alarial's Blessing,1928
2287780,TouHou Legend of Fairy Souls,1929
2165530,Make me Float,1930
1826380,Mayhem Brawler II: Best of Both Worlds,1931
2911270,SNAP JAW,1932
347460,"Heart Forth, Alicia",1933
3950940,She Hungers,1934
968710,Hazelnut Bastille,1935
3977340,Poly Fighter,1936
4151070,Heart Flipper: A House Flipper Dating Sim,1937
3237520,The Alters: Last Variable,1938
3168520,BloomTale,1939
2874540,Symbiosis,1940
2640920,Network Engineer Simulator,1941
1478730,Tune My Car,1942
4315550,The Carcass,1943
2621930,Grim Trials,1944
2881620,Paraside: Duality Unbound,1945
3607300,Pera Coda,1946
3452720,Realm of Taiwu,1947
2986590,HYPNOSYNC,1948
4377480,Burn-9,1949
4138920,Aliya: Timelink2 Dawn,1950
3211220,Lands of Achra,1951
3372500,1000: The All-Mother's Embrace,1952
3968160,Island Beekeeper,1953
3857800,Outlaw's Vengeance,1954
4327300,Silicon Gate,1955
3886200,BrokenLore: DON’T LIE,1956
2356810,Tales Of Shadowland,1957
1848610,Rogue Mansion,1958
2584740,Malvinas: La Ultima Carta,1959
3825600,Culdcept The First,1960
3280240,Nailcrown,1961
2974510,Lie of Caelum: Spirit,1962
3143530,Shadow Project,1963
1193170,DEFICIT,1964
3873770,AXERAS,1965
3813870,BLOK,1966
4195140,PIX Football Manager,1967
993960,The Faceless Double,1968
3227500,Blades of Mirage,1969
3725650,Deliria,1970
3380990,Starborn Phoenix Ship,1971
2431790,Cyber Paradise,1972
4088520,MeowFactory,1973
3705900,President Simulator,1974
1171340,A.I.M. War Protocol,1975
