appid,title_old,rank_old
4252830,Type or Die,1298
4442710,Spirit Dungeon,1782
4162290,OK👍 Boomer,1949
2717620,Of Love and Eternity,1975
2615420,Portal: Ambition,1977
2984800,Double Whammy,1978
3562200,Cloudscrapers,1979
884670,Codenames,1980
2327640,Deadlock Station,1981
2659980,V.E.D.A: The Awakening of Souls,1982
2092510,Dome-King Cabbage,1983
2963650,Echo: Defy Death,1984
3720040,Hide Zone,1985
3335460,Broken Sword - The Smoking Mirror: Reforged,1987
4059000,Cozy Builder,1988
3227900,Nightmare Circus,1989
3755930,The Severed Gods,1990
2437940,Crossroads Inn 2 - Tavern Manager,1991
3485580,Bodybuilder Simulator CO-OP,1992
2984150,Pirofauna,1993
1991250,Automation Station,1994
2841650,Sniper Dan,1995
2425200,HARUKA: Beyond the Stars,1996
3141630,Montabi,1998
931060,Tormentum II,1999
4165660,Dungeon Treaders,2000
2614590,Online Obsession,2001
3212500,Vampire Huntress - Lament of the Sun,2002
2514330,The Rabbit Haul,2003
1692120,Airtight City 2.0 : Awakening,2004
2491830,Zero Losses,2005
4643090,The NOexistenceN of Lilith,2006
2175890,Medieval Builders: Strongholds & Castles,2007
3970880,Eggspedition,2008
1343010,Antimatter,2009
4003030,Mojo Party,2010
1170670,MILITARY,2011
3950130,Database Detective: Minor Crimes Division,2012
2750770,Threads of You: Beyond the Bay,2013
748810,Vikings On Trampolines,2014
3514750,Fantasy Burger,2015
3800200,Ramshackle,2016
4133290,DownSouth,2017
2433790,Tiny Tires,2018
2524410,It's Hot Pot Time!,2019
1794000,Remnants of R'lyeh,2020
2301940,BLOW-UP: AVENGE HUMANITY,2021
1335780,Flight Attendant Simulator,2022
1889700,Archrebel Tactics,2023
3340830,Idle Cave Miner 2,2024
1355060,Supermarket Manager,2025
3352140,Satellite Odyssey: Jupiter,2026
2357380,Tako no Himitsu: Ocean of Secrets,2027
3608830,Flip-Flop Fury,2028
3004390,The Cave Diver,2029
2470790,INFERIUS,2030
3738830,Bodycam Onrecord,2031
3352150,Bushcraft Simulator,2032
1662160,K-pop Idol Stories: Road to Debut,2033
1570220,Mythos: Build & Survive,2034
2714930,Harbor,2035
3772990,Solbrand,2036
3470550,"We, Junk Artists",2037
1170580,Acid Knife,2038
1779060,The Age of Hell,2039
3348210,Super Yooka-Laylee Kart,2040
1466310,AC-130 Gunship Operator,2041
2517080,Psychotic Bathtub,2042
3971650,Lazy Witch's Factory,2043
2402500,Hayaku! Island of Darkness,2044
2537430,Solar Smash: Annihilation,2045
3179370,Ephemeris,2046
3299450,Calame,2047
2770330,Chaos Front,2048
2621540,Masada,2049
2069170,Obsidian Legion,2050
3260040,Cold Abyss,2051
3581760,Out of Love,2052
2761800,COMBAT PILOT: CARRIER QUALIFICATION,2053
3307770,NCORE,2054
3008590,Relics of the Oracle,2055
2678670,END OF BACK WORLD,2056
907500,The Peterson Case,2057
3851090,Grobnopolis | Last Days,2058
4423270,Takeover 2,2059
2454600,Ironsand,2060
3693970,Plant Tales,2061
4134650,Bones and Coins,2062
1440340,Cannon Foundry Simulator,2063
2415000,BLACKOUT: Zero Point,2064
4047270,Orc Incremental,2065
3734010,Project Retrograde: The Becoming,2066
4026510,Lucid Falls,2067
2837780,KARJALA,2068
3962240,Quiet Express: Cabin 909,2069
3019200,Little Herbal Baker,2070
4498320,The Wandering Village: The Last Leviathan,2071
3053990,To The Grave: The Wildlands of Faenora,2072
1264390,Dreamjob: Programmer Simulator - Learn Programming Games,2073
3002740,Project Solaris,2074
2802740,Heave Ho 2,2075
1781190,IMMORTAL: And the Death that Follows,2076
2932450,Airsoft Online,2077
2659600,Ammossum,2078
4375420,The Ashen OZ,2079
