appid,title_old,rank_old
2881370,Thank You For Your Application,359
2938870,Maseylia : Echoes of the Past,1315
3358590,Prolegomena To a Hyperdimensional Interface That Will Be Able to Manifest From Three-Minute Interchanges,2572
1726560,Buramato,2574
1953770,Soulitaire,2575
3102220,KARANEKO,2576
2799910,Illegal Football,2577
2178120,Return to Paradise,2578
2216840,BACKROOMS: NO RETURN,2579
3548810,Ritual Tides,2580
1612190,Exodus,2581
4080520,Horns of Deliverance,2582
2160760,LIMINAL,2583
3456660,PAYDAY: Aces High,2584
1008340,Insect Worlds,2585
2954010,Burn With Me,2587
1622110,Zoria and the Cursed Land,2588
1374320,Regeneration,2589
3895950,Garten of Banban: Last Ticket to the Abyss,2590
3196270,Fishing Shop Simulator,2591
3714280,FLASK,2592
2558300,Netherwyn,2593
3603740,GCR4 Geoff Crammond,2594
2659040,M.O.Z.I.,2595
3862790,Skate Style,2596
2840000,Lumina Veil,2597
3411810,Cobra Strike,2598
3284220,Hyperwar,2599
4198610,A Fighter’s Nova: Mindara,2600
