appid,title_old,rank_old
4163030,Cat Chess,550
3641000,The Incident at Galley House,580
3312130,Factory Town 2: Paradise,1163
3151360,Agni: Village of Calamity,1250
3542500,"Please, Watch The Artwork",1252
3763470,Wu-Tang: Rise of the Deceiver,1253
1384180,Cloud Exiles,1254
3106270,HELLCARD II,1255
3738890,Frontline Logistics: Isarian Warfare,1256
4507990,Wo Long 2: Wings of Ember,1257
3621690,My Eerie Lair,1258
2546810,Broken Sword - Parzival’s Stone,1259
3275050,Ex Sanguis,1260
3082730,HYPERyuki: Snowboard Syndicate,1261
3433000,DOWNHILL,1262
4414620,Book Nook,1263
2873750,Pool of Madness,1264
2593340,Wonderia,1265
2666160,STARVEIL PROTOCOL A.A.A.,1266
1445190,DoubleShake,1267
4532500,Atelier Karia: The Night Kingdom & the Guide of Memories,1268
3832490,Antivirus Survivors 2003 Professional,1269
3357310,ASUKA x Redline Reverie,1270
3825390,BLUE REFLECTION Quartet,1271
2379820,Forty-Niner,1272
2113960,KVLT,1273
4218360,Wall World Strategy,1274
