appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
4534960,Dear Passengers,Dear Passengers,813,149,664,664,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3738830,Bodycam Onrecord,Bodycam Onrecord,839,767,72,72,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 17, 2026","Jul 17, 2026",False
4512570,A Game About Chopping Trees,A Game About Chopping Trees,1038,982,56,56,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 15, 2026","Jul 15, 2026",False
3950130,Database Detective: Minor Crimes Division,Database Detective: Minor Crimes Division,1108,1056,52,52,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 17, 2026","Jul 17, 2026",False
4461460,Fantasy Blacksmith Simulator,Fantasy Blacksmith Simulator,997,952,45,45,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3423990,Frozen Ship,Frozen Ship,1234,1194,40,40,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 17, 2026","Jul 17, 2026",False
4643090,The NOexistenceN of Lilith,The NOexistenceN of Lilith,1240,1212,28,28,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 16, 2026","Jul 16, 2026",False
4212480,Ragnarok: The New World,Ragnarok: The New World,923,896,27,27,up,upward_spike,Free,Free,False,"Jul 15, 2026","Jul 15, 2026",False
3767850,SpiritVale,SpiritVale,586,562,24,24,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 15, 2026","Jul 15, 2026",False
4210580,Ore Factory Squad ⛏️,Ore Factory Squad ⛏️,677,653,24,24,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 16, 2026","Jul 16, 2026",False
4487060,Northgard Battlegrounds,Northgard Battlegrounds,1054,1030,24,24,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3869850,Welcome to the Game III,Welcome to the Game III,1182,1159,23,23,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 16, 2026","Jul 16, 2026",False
2021960,Cozy Grove: Camp Spirit,Cozy Grove: Camp Spirit,1209,1186,23,23,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 15, 2026","Jul 15, 2026",False
