appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
3208930,Galvatein : Adventurers' Guild,Galvatein : Adventurers' Guild,1253,1344,-91,91,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4156490,Mekururi: Dizzying Witch,Mekururi: Dizzying Witch,1386,1477,-91,91,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2244700,Glasshouse,Glasshouse,1410,1498,-88,88,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3508910,Abyss Kitchen,Abyss Kitchen,1131,1216,-85,85,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3836120,Land of Glarefall,Land of Glarefall,1355,1438,-83,83,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4553370,SOMBRAS: negative frames,SOMBRAS: negative frames,1456,1539,-83,83,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
4540820,Kin and Conquest,Kin and Conquest,1336,1419,-83,83,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4483420,Luna Has Gone,Luna Has Gone,1394,1476,-82,82,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
2362070,Hollow Home,Hollow Home,1361,1443,-82,82,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
2160070,Forge of the Fae,Forge of the Fae,1442,1524,-82,82,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3881510,Reverse T-gotchi,Reverse T-gotchi,1433,1515,-82,82,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
950660,WRAITH OPS,WRAITH OPS,1405,1486,-81,81,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3593470,1992: Rasputie,1992: Rasputie,1097,1178,-81,81,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4540260,Project Ants,Project Ants,1360,1441,-81,81,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3318210,Doomed Otaku,Doomed Otaku,1436,1517,-81,81,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Oct 15, 2026","Oct 15, 2026",False
1167820,Airport Contraband,Airport Contraband,1419,1500,-81,81,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q3 2026,Q3 2026,False
3313880,Hexborn,Hexborn,1285,1365,-80,80,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4051900,Fish to Cats: Catch & Feed,Fish to Cats: Catch & Feed,1351,1431,-80,80,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,July 2026,July 2026,False
2606850,Mimic,Mimic,1111,1191,-80,80,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
3575220,Guardians of the Wall,Guardians of the Wall,1202,1282,-80,80,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4337440,Memory of Memorie : A Chill Story,Memory of Memorie : A Chill Story,1295,1374,-79,79,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3158820,Kalanoro,Kalanoro,1396,1475,-79,79,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q3 2026,Q3 2026,False
3721410,Basterd Sword,Basterd Sword,1122,1201,-79,79,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3261450,Tangerine Antarctic,Tangerine Antarctic,1101,1180,-79,79,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4681380,B.L.U.E.,B.L.U.E.,1329,1407,-78,78,down,downward_spike,Free,Free,False,December 2026,December 2026,False
2979500,Serial World,Serial World,1140,1218,-78,78,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
2415000,BLACKOUT: Zero Point,BLACKOUT: Zero Point,1378,1456,-78,78,down,downward_spike,Free,Free,False,2027,2027,False
4676420,Galaxy Scavengers,Galaxy Scavengers,1379,1457,-78,78,down,downward_spike,Free,Free,False,2027,2027,False
4605210,Pet the Cat,Pet the Cat,1444,1522,-78,78,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3994120,AI Pixel Battle,AI Pixel Battle,1142,1220,-78,78,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3892370,Distant Shore: BRETAGNE,Distant Shore: BRETAGNE,1005,1083,-78,78,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
2097940,Theatre of War: Rearmed,Theatre of War: Rearmed,1244,1321,-77,77,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
1361090,Restitched,Restitched,1358,1435,-77,77,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3135380,Verse Project,Verse Project,1488,1564,-76,76,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
4375230,Sangokushi BOND,Sangokushi BOND,1427,1503,-76,76,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3807690,Yami Kids,Yami Kids,1366,1442,-76,76,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4742960,Wolfbane,Wolfbane,1175,1251,-76,76,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2597610,Mononoke No Kuni,Mononoke No Kuni,1341,1417,-76,76,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
2636460,Dungeons Deep,Dungeons Deep,1292,1368,-76,76,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4000770,Swarmdustry,Swarmdustry,1403,1479,-76,76,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q3 2026,Q3 2026,False
3929700,Pixel Formation,Pixel Formation,1189,1265,-76,76,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3083210,Block 17,Block 17,1359,1434,-75,75,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2915770,Rescue Ops: Wildfire,Rescue Ops: Wildfire,1230,1305,-75,75,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3189450,City of None,City of None,1252,1327,-75,75,down,downward_spike,Free,Free,False,2027,2027,False
1477750,SunderBound,SunderBound,1137,1212,-75,75,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3838820,Mirage Miracle Quest,Mirage Miracle Quest,878,952,-74,74,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2957360,NIGHTMARE OPERATOR,NIGHTMARE OPERATOR,1255,1329,-74,74,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2932450,Airsoft Online,Airsoft Online,1268,1342,-74,74,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
1111740,Cross Reverie,Cross Reverie,1385,1459,-74,74,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3462190,PHASE ZERO,PHASE ZERO,877,950,-73,73,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4704830,Reus 2 - Jurassic,Reus 2 - Jurassic,1186,1259,-73,73,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3664840,Compress(space),Compress(space),1246,1319,-73,73,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
2303200,DarkSwarm,DarkSwarm,1297,1370,-73,73,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
1537440,Bosslords,Bosslords,1352,1425,-73,73,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
2626830,SOS OPS! 2,SOS OPS! 2,1376,1449,-73,73,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3979490,AZUR,AZUR,1313,1386,-73,73,down,downward_spike,Free,Free,False,Q3 2027,Q3 2027,False
3002550,Shadow Sacrament: The Roots of Evil,Shadow Sacrament: The Roots of Evil,1335,1408,-73,73,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
1916410,Drive Beyond Horizons: Prologue,Drive Beyond Horizons: Prologue,1408,1481,-73,73,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
4289310,ABIDE,ABIDE,1473,1546,-73,73,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2665020,Milo,Milo,1309,1381,-72,72,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
4199960,The Jackbox Party Pack 12,The Jackbox Party Pack 12,862,934,-72,72,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4310290,Crime and Punishment: Lost in Nightmares,Crime and Punishment: Lost in Nightmares,1395,1467,-72,72,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3170130,Red Recon: 1944,Red Recon: 1944,1364,1436,-72,72,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
3280150,Lone Chef,Lone Chef,1437,1508,-71,71,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
4710010,Triple Pairing,Triple Pairing,1349,1420,-71,71,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
1070500,He Who Watches,He Who Watches,1029,1099,-70,70,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
2467880,Fading Echo,Fading Echo,1124,1194,-70,70,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q3 2026,Q3 2026,False
4608750,60病　The 60-Second Syndrome,60病　The 60-Second Syndrome,1203,1273,-70,70,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4268970,Drill Deep,Drill Deep,1435,1505,-70,70,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3362130,Room 502 : School Mystery Game,Room 502 : School Mystery Game,1493,1563,-70,70,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3941680,BATARA: FATE UNBOUND,BATARA: FATE UNBOUND,1018,1088,-70,70,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3066040,Fosoria,Fosoria,989,1059,-70,70,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3635640,Stories of Somnia,Stories of Somnia,1332,1401,-69,69,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3326570,Valefor 2,Valefor 2,1486,1555,-69,69,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3077640,MIGHTREYA,MIGHTREYA,1480,1549,-69,69,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3337130,RMF's Ragdoll Physics Experiments,RMF's Ragdoll Physics Experiments,1461,1530,-69,69,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
4156500,Rekindled: Cozy Tavern Life,Rekindled: Cozy Tavern Life,1472,1541,-69,69,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
3440200,The Holy Fool,The Holy Fool,1249,1318,-69,69,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3668330,ShatterRush,ShatterRush,868,937,-69,69,down,downward_spike,Free,Free,False,Q3 2027,Q3 2027,False
4671450,World of Slime,World of Slime,1107,1176,-69,69,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
