appid,title_new,rank_new,price_text_new,release_text_new
2679100,Witchspire,56,Unpriced (Coming Soon),"Jun 10, 2026"
4729320,Swords of Legends,383,Unpriced (Coming Soon),To be announced
4117730,Slayblade,916,Free,Coming soon
2876290,Sojourn Past,1000,Unpriced (Coming Soon),2026
4650950,COCORO,1006,Free,Coming soon
4514070,Barely Breathing,1043,Unpriced (Coming Soon),2026
3075410,Hand of Fate: Hordes,1060,Unpriced (Coming Soon),"Jul 22, 2026"
3846290,Doomsday Diner,1080,Free,Coming soon
3956540,Radio Decay,1092,Free,Coming soon
3814270,Froggy Brews,1107,Unpriced (Coming Soon),To be announced
1350370,Daybreak Slam,1115,Unpriced (Coming Soon),To be announced
4141710,Neko Station,1117,Unpriced (Coming Soon),To be announced
4029740,Puppergeist,1121,Unpriced (Coming Soon),"Jul 16, 2026"
4093320,Project Salon,1160,Unpriced (Coming Soon),To be announced
4290390,CARTAGRA,1168,Unpriced (Coming Soon),"Jun 25, 2026"
3570350,Silkgrove,1186,Unpriced (Coming Soon),To be announced
3027810,Touhou Infinite Nocturne,1205,Free,Coming soon
3450780,Primordial Empire,1208,Free,Coming soon
3154150,Spook-A-Boo,1214,Unpriced (Coming Soon),To be announced
4197390,FENDERSHOT,1225,Unpriced (Coming Soon),2026
1287610,Nirvana Noir,1236,Free,Coming soon
4768240,Jade scratch gamble,1243,Free,Coming soon
3834910,Dungeon Pizza,1245,Unpriced (Coming Soon),To be announced
2322260,Don't Kill Them All,1262,Unpriced (Coming Soon),To be announced
3015820,To Kill a God,1270,Unpriced (Coming Soon),To be announced
2920220,Terrible Lizards,1278,Free,Coming soon
2519170,Bunraku,1283,Unpriced (Coming Soon),To be announced
3449530,Apothecurse,1293,Unpriced (Coming Soon),To be announced
3307340,Cast Outs,1294,Unpriced (Coming Soon),To be announced
2695710,God For A Day,1296,Unpriced (Coming Soon),"Jun 16, 2026"
1570450,Artificial Extinction 2,1301,Unpriced (Coming Soon),"Jun 10, 2026"
3297110,Anemorie,1308,Free,Coming soon
3794210,Thousand Hells: The Underworld Heists,1312,Free,Coming soon
4458440,Pelican Post,1314,Free,Coming soon
2429600,Herdles,1328,Free,Coming soon
3758980,NO STRAIGHT ROADS 2,1334,Unpriced (Coming Soon),2026
3484950,AfterQuest,1346,Unpriced (Coming Soon),To be announced
2528170,The Hearth and Harbour,1349,Free,Coming soon
3969610,Job Fit For a Devil,1352,Unpriced (Coming Soon),To be announced
4551870,Ruffed Up,1362,Free,Coming soon
2459030,Locator,1377,Unpriced (Coming Soon),To be announced
4566850,Sepak U - Sports Fighting Game,1380,Free,2027
4267780,Acting Out,1382,Free,Coming soon
2964560,Happy Bastards,1383,Unpriced (Coming Soon),To be announced
4096150,KinForge,1395,Unpriced (Coming Soon),To be announced
1686230,Mayday: The Survival Island,1396,Free,Coming soon
4415120,Growing My Manhole,1422,Unpriced (Coming Soon),Q3 2026
2191280,Gurei,1428,Unpriced (Coming Soon),"Jul 23, 2026"
3107530,Danchi Days,1429,Unpriced (Coming Soon),2026
2168480,Janet DeMornay Is A Slumlord (and a witch),1430,Free,Coming soon
3255500,Ved: Recure,1437,Unpriced (Coming Soon),To be announced
3963220,Saturday AM: Battle Manga,1453,Unpriced (Coming Soon),To be announced
4066520,Trust Your Gut,1455,Free,Coming soon
4003590,"Dungeon Gambler: All In, No Out",1461,Unpriced (Coming Soon),2026
4455920,NOL,1474,Unpriced (Coming Soon),To be announced
1496970,Masters of Mayhem,1482,Free,Coming soon
3358170,Dodo Duckie,1495,Unpriced (Coming Soon),"Jul 23, 2026"
4547180,REST STOP,1499,Unpriced (Coming Soon),"Dec 28, 2026"
3187650,Jigrift,1504,Unpriced (Coming Soon),2026
4410710,Fields of Aaru,1519,Free,Coming soon
881940,Guns 'n Goblins,1520,Free,2027
1835080,Taste Of Heaven,1525,Unpriced (Coming Soon),To be announced
3940470,KILLSEC,1528,Unpriced (Coming Soon),To be announced
3575850,Lone Pine,1531,Free,Coming soon
2626570,GodsTV,1533,Free,Coming soon
3616280,Mr. Magpie’s Harmless Card Game,1535,Unpriced (Coming Soon),To be announced
4001430,Seres Universalis:Three Kingdoms,1537,Unpriced (Coming Soon),To be announced
3967230,Alchemortis,1540,Unpriced (Coming Soon),To be announced
3299050,No Such Place,1542,Unpriced (Coming Soon),2026
3946810,The seven days i spent with you,1543,Unpriced (Coming Soon),"Jun 17, 2026"
2707980,PUNK,1545,Unpriced (Coming Soon),To be announced
4178020,Lured In,1552,Unpriced (Coming Soon),July 2026
4297840,Rock Bottom,1554,Unpriced (Coming Soon),"Jul 14, 2026"
1547540,They Are Here: Alien Abduction Horror,1557,Unpriced (Coming Soon),2026
3227900,Nightmare Circus,1559,Unpriced (Coming Soon),2026
3650150,Teeko,1560,Free,Coming soon
4051470,BrokenLore: ASCEND,1561,Unpriced (Coming Soon),2026
1714510,Kusan: City of Wolves,1562,Unpriced (Coming Soon),"Jul 30, 2026"
