appid,title_old,rank_old
1297900,Gothic 1 Remake,3
4285690,Airport Security Sucks!,100
3949440,Scalpers' Spoils,261
4553760,TEVI - Fauna Arcana,285
4612650,Metro Anomaly,288
4235170,Fables of Dwale,290
4784080,"Oh, My Doug!",303
4374530,Keep It Up!,327
3339080,Wyrmspan,338
4252280,Quack Hunters,347
408200,Red Frame,351
4670880,Bathory - Heritage of Blood,354
4598200,Dune: Imperium - Uprising,355
4431400,Smersh: Wolfhound,359
4753780,Animal Rescue Network,360
3461050,Gambit,372
2506520,GHOSTLESS,381
4182850,Tiebreakers,382
4439290,Forza Horizon 6 Italian Passion Car Pack,385
4668890,Mall Together,404
3842050,Ornelia,408
4762680,The Undergrowth,413
4689550,RuneCipher,424
4253580,Toada Brava,430
3346460,Pottering,435
2360820,Tempus Vitae,441
4774580,"You’re a Scalper, Aren’t You?",462
4261080,Expedition of the Guild,472
4540480,SATURN. LEGACY,475
4644870,Green Mist over Portland,478
3933180,Torii: Beyond The Gates,483
4011300,Super Shout Showdown,485
4603230,HEADCUTTER,486
4296370,Every Wednesday,487
3930510,Don't Let It Starve,492
4018020,Angels Online Global,517
4681770,Everfront,523
4300540,The Demon Party,525
4392550,Wicked Night: Holy Knights,526
4311980,DITTORI,527
3676250,Boars in Rome,529
4032350,EA SPORTS™ College Football 27,530
3755890,ZHEN: Shattered Legacy,531
4029770,THERMOCLINE,537
2732480,Emery Hearts,543
2713120,Furyball: Rogue Revenge,544
4412960,光与影之恋 Chiaroscuro Lovers,547
4724380,Project Sentinel - Zero Tolerance,552
4677140,RAGNAROK PROJECT,556
3755350,Alice Nation,557
3591900,Chivalware,558
4456940,INORI,566
4282780,Duelist: Idle Expedition,575
4131500,Feed the Giants,581
3240610,Memoria Wake,583
4581370,Where Dolls Hang,593
3819700,Village 51,595
4229200,Muchi Muchi Pork! & PinkSweets Boosted,598
3936530,Pro Cycling Manager 26,606
3799720,House of Saturn,607
4167150,Johan,609
4111300,MegaGum,614
3333380,Dungeon Hotpot,618
3725800,Island of Rebirth~NTR and Love~,620
4298170,Carry the Pack Rack,624
4194370,Godless Avalon,625
