appid,title_old,rank_old
2309440,Combat Champions,1842
3574020,Ramen Simulator,2404
3957680,They Will Come,2443
1421190,Security Guard,2444
1596350,Spiritlink Tactics,2445
1237250,Cloudscape,2446
4168190,Crimson Banner: War of Liberation,2448
3599920,ARTIUS: Pure Imagination,2449
4077880,Cantarella: Dominion of Qualia,2450
3561930,Liquid Lungs,2451
2784920,Infinity Knights: Xross,2452
3429280,ATOM RPG 2,2453
3348690,Lionhearts,2454
3536500,Tunguska 2: Whitefall,2455
2622180,Detective Fantasia: EXCALIMURDER,2456
2105260,Pizza Kidd,2457
1639510,Primal Dominion: Aftermath,2459
2682980,The Bunny Graveyard II,2461
2363330,Witch World,2462
3570350,Silkgrove,2463
1553640,There's no way that tsundere girl I met in the infirmary will be my girlfriend,2465
3153700,My Cannibal Family,2466
3683940,Replay Value: Second Hand Games,2467
2237320,Dwarf Delve,2468
3339080,Wyrmspan,2469
4463520,Moomin: Midsummer Madness,2470
4030360,Undertaker,2471
4030970,Sweatpants Savior: Worlds Beyond,2472
3536680,wYzards,2474
