appid,title_old,rank_old
2806050,Halo: Campaign Evolved,40
2939790,Lunarium,675
3968160,Island Beekeeper,915
3432480,Shards of Order,985
4791980,SCREAM NOTE,1012
2202650,Crescent County,1180
2459030,Locator: The Search for Abigail Lidari,1181
3412600,Supermarket,1182
4239080,Veil of the Soulstones,1183
3094870,Amarillo's Desktop Pets,1184
1531180,Lost Isle,1185
1111840,Urban Explorer,1186
2991310,Eternal Palace Sakura,1187
2852140,Dumb Ways to Party,1188
2738660,Mecha Simultactics,1189
2384640,WILD Tactics,1190
4020810,NTL: No Time Left,1191
3135380,Verse Project,1192
1830110,THE SIGNAL: Stranded on Sirenis,1193
3107530,Danchi Days,1194
3510740,Normal Golf Game,1195
3082730,HYPERyuki: Snowboard Syndicate,1196
3152440,The Florist,1197
2468250,silkbulb test,1199
2661310,Shovel Knight: Shovel of Hope DX,1200
