appid,title_old,rank_old
4162040,Zenless Zone Zero,169
2695710,God For A Day,1549
4704920,Prison Pocket Patrol,2177
1353150,The Path of Calydra,2948
992690,We are the Plague,2949
3259000,Crathos Deep,2950
3312310,Devil Slayer - Raksasi 2,2951
1813230,Wild West Builder,2952
4200800,Alice at the End of Her Life,2953
1749400,Lendas,2954
1948420,Center Mass: Streets of Ramadi,2955
3203340,Nonolith,2956
1383660,Guinea Pig Parkour®,2957
2679790,Baron,2958
2087320,Nara: Facing Fire,2959
1702630,Arcadian Rift,2960
3150160,Another Pint,2963
4668890,Mall Together,2964
3164310,Verde,2965
1826400,CRAVE,2966
2696550,Aquametsis,2967
2922250,Baptiste,2968
1331290,Shattered Soul,2969
3045520,Sea Sniffers,2970
2131290,Iron Frontier,2971
2471330,Cathedral: Crow's Curse,2972
3578820,SUPER ADVENTURE,2973
4484770,Hoa 2,2974
3794520,Rebounder,2975
3574200,HIPS N NOSES,2976
2524780,Echo of the Waves,2977
3058740,Odds Chronicles,2978
3124600,of the Devil - Episode 3,2979
4157430,Diggin,2980
3713620,RouteWhom／ルートフーム,2981
3205880,CORPSE CARNIVAL,2982
3549280,Bulbo's Belief System,2983
2521800,Boxing Underdog,2984
741340,Kingdom Workshop,2985
3956540,Radio Decay,2986
4278150,One Iced Latte: Milk Song,2987
2934330,RADIOSOL,2988
4575010,Too Hot to Be True,2989
1316440,Lonefarm,2990
2382810,Dream Channel Zero,2991
2079210,It's Always Happy at Chubby's,2992
3674680,Roguecraft DX,2993
4366330,Rift Wizard 3,2994
4654270,Idol Manager: Virtual Venture,2996
4131500,Feed the Giants,2997
4105860,Rising Sun,2998
