appid,title,url,published_at,contents_preview,date_classification,evidence_type
4821880,Quack Quack Test FAQ | Everything You Need to Know,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1842212951296829,2026-08-26T13:00:27+00:00,"Dear Rocos, The Roco Kingdom Quack Quack Test (Closed Beta Test) begins on October 27, 2026, at 02:00 (UTC+0)! To help you prepare for the journey ahead, we've put together answers to some of the community's most frequently asked questions. Let's dive in! ▶Sign-ups are now open for our Closed Beta, ",inside_extended_window,steam_news
4821880,Roco Kingdom | Official Announcement Trailer,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1842212951295289,2026-08-25T23:27:47+00:00,"From the Magic Academy to the vast, vibrant world beyond, discover the secrets of Jinies, explore the lands they call home, and perhaps even find your own calling along the way.As a Roco, meeting Jinies is only the beginning.Take the time to observe them, listen to them, and discover how they live. ",inside_extended_window,steam_news
