appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
4120790,The Sorting Bureau,The Sorting Bureau,878,835,43,43,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 21, 2026","Aug 21, 2026",False
3817250,"CICADAMATA""","CICADAMATA""",655,623,32,32,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 21, 2026","Aug 21, 2026",False
4239670,Steel Soul Shaper,Steel Soul Shaper,686,654,32,32,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3396920,Settler's Domain,Settler's Domain,950,920,30,30,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 21, 2026","Aug 21, 2026",False
4948000,Moo Who?,Moo Who?,507,478,29,29,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 21, 2026","Aug 21, 2026",False
3373500,Scavland,Scavland,693,668,25,25,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,September 2026,"Sep 4, 2026",True
4163270,Half Grip,Half Grip,1006,982,24,24,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
2924540,Crazy Taxi: World Tour,Crazy Taxi: World Tour,536,514,22,22,up,upward_spike,Free,Free,False,2027,2027,False
3937470,Sally Face 2,Sally Face 2,515,494,21,21,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3216600,KINGDOM HEARTS IV,KINGDOM HEARTS IV,527,506,21,21,up,upward_spike,Free,Free,False,2027,2027,False
4244460,Sealbreakers,Sealbreakers,951,932,19,19,up,none,Free,Free,False,Coming soon,Coming soon,False
1343010,Antimatter,Antimatter,1078,1059,19,19,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4073860,Sludgineers,Sludgineers,1081,1062,19,19,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 25, 2026","Aug 25, 2026",False
2826790,Stormforge,Stormforge,649,633,16,16,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4459590,Slotbound,Slotbound,723,707,16,16,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,November 2026,November 2026,False
4738100,10 Million Pixels,10 Million Pixels,784,768,16,16,up,none,Free,Free,False,Coming soon,Coming soon,False
3211430,BRIGANDINE ABYSS,BRIGANDINE ABYSS,557,542,15,15,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 26, 2026","Aug 26, 2026",False
4732690,Arknights: Endfield,Arknights: Endfield,664,649,15,15,up,none,Free,Free,False,Coming soon,Coming soon,False
4876650,Never Sort By Color,Never Sort By Color,724,709,15,15,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Nov 10, 2026","Nov 10, 2026",False
4664840,In the Van,In the Van,801,786,15,15,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4280880,SHORE,SHORE,919,904,15,15,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
3375110,Tiny Eden,Tiny Eden,1058,1043,15,15,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Sep 7, 2026","Sep 7, 2026",False
3031880,Car Park Capital,Car Park Capital,505,491,14,14,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Oct 9, 2026","Oct 9, 2026",False
4348910,Probably Stolen - Cyberpunk Shopkeeper Sim,Probably Stolen - Cyberpunk Shopkeeper Sim,674,660,14,14,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3908940,Inferno Protocol,Inferno Protocol,771,757,14,14,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 28, 2026","Aug 28, 2026",False
4018380,Chronoscript: The Endless End,Chronoscript: The Endless End,818,804,14,14,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3547270,Worming from Home,Worming from Home,875,861,14,14,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Sep 4, 2026","Sep 4, 2026",False
4954970,No Body No Problem!,No Body No Problem!,930,916,14,14,up,none,Free,Free,False,Coming soon,Coming soon,False
4400800,American Truck Simulator - Indiana,American Truck Simulator - Indiana,1036,1022,14,14,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4119710,Give Us A Sign,Give Us A Sign,454,441,13,13,up,none,Free,Free,False,Coming soon,Coming soon,False
4093320,Beastfolk Barber,Beastfolk Barber,457,444,13,13,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2902170,Kernel Hearts,Kernel Hearts,579,566,13,13,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Sep 17, 2026","Sep 17, 2026",False
1148130,Divinum,Divinum,808,795,13,13,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 28, 2026","Aug 28, 2026",False
2945040,Shot One Fighters,Shot One Fighters,958,945,13,13,up,none,Free,Free,False,Coming soon,Coming soon,False
4195110,Ultrapool,Ultrapool,982,969,13,13,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 24, 2026","Aug 24, 2026",False
3135380,Verse Project,Verse Project,1102,1089,13,13,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3255500,Ved: Recure,Ved: Recure,775,763,12,12,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q3 2026,Q3 2026,False
3473430,All Our Broken Parts,All Our Broken Parts,810,798,12,12,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4438080,Call It a Day,Call It a Day,835,823,12,12,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,September 2026,September 2026,False
2541950,Sirens,Sirens,845,833,12,12,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2895410,Monsterest,Monsterest,854,842,12,12,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3681610,DRAGON QUEST MONSTERS: The Withered World,DRAGON QUEST MONSTERS: The Withered World,894,882,12,12,up,none,$59.99,$59.99,False,"Dec 3, 2026","Dec 3, 2026",False
4623570,Deskrawl: Idle ARPG,Deskrawl: Idle ARPG,1008,996,12,12,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,September 2026,September 2026,False
3048060,Trivia Murder Party 3,Trivia Murder Party 3,1049,1037,12,12,up,none,Free,Unpriced (Coming Soon),True,Coming soon,"Sep 17, 2026",True
4713940,Monster Fantasy,Monster Fantasy,499,488,11,11,up,none,Free,Free,False,2027,2027,False
4465790,Deadzone Rogue 2,Deadzone Rogue 2,508,497,11,11,up,none,Free,Free,False,Coming soon,Coming soon,False
4890760,THE DEAD WE KNEW: Open World Survival,THE DEAD WE KNEW: Open World Survival,573,562,11,11,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Sep 17, 2026","Sep 17, 2026",False
3305930,Panzer Strike,Panzer Strike,603,592,11,11,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q3 2026,Q3 2026,False
3960600,Warrior Cats: Clans of the Forest,Warrior Cats: Clans of the Forest,760,749,11,11,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4892120,ROUTE,ROUTE,960,949,11,11,up,none,Free,Free,False,Coming soon,Coming soon,False
4339280,ShipShaper,ShipShaper,1005,994,11,11,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Sep 2, 2026","Sep 2, 2026",False
4131730,VHOLUME,VHOLUME,282,272,10,10,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 21, 2026","Aug 21, 2026",False
4910490,Ignite the Depths,Ignite the Depths,440,430,10,10,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4657920,War Fantasy,War Fantasy,453,443,10,10,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2067820,RetroSpace,RetroSpace,461,451,10,10,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Oct 1, 2026","Oct 1, 2026",False
4279630,Friendly Steps,Friendly Steps,476,466,10,10,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Sep 3, 2026","Sep 3, 2026",False
3606970,Brass Rain,Brass Rain,538,528,10,10,up,none,Free,Free,False,December 2026,December 2026,False
4928450,Grand Theft Timeline,Grand Theft Timeline,563,553,10,10,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
