appid,title_old,rank_old
2584270,Mortal Shell II,21
4001890,How to Fish,175
3196440,Vacation Cafe Simulator,241
4117730,Slayblade,412
4294490,"KOTAMON: My Sis Found A Super-Rare Card In Her Cereal Box, So I Became A Garbage Man To Find The Entire Collection And Earn $1,000,000",413
3765020,S.T.A.L.K.E.R. 2: Cost of Hope,424
903930,Brigador Killers,447
4403510,Sensory Overload,571
4461460,Fantasy Blacksmith Simulator,712
3012300,Carbon,1106
4417410,Rush B: Esports Manager,1107
2949750,Margin of the Strange,1108
3030560,Sloppy Forgeries,1109
2175180,Primitive,1110
1503170,Liegecraft,1111
3544130,Soul Chained,1112
2565010,Tenet of the Spark,1113
4327900,Space Hauler,1114
3530630,Bless You Again,1115
4121600,Psychopomp 2,1116
2620450,Highreach,1117
3054550,Sil and the Fading World,1118
2830070,SECOND-LOOP™,1119
3107530,Danchi Days,1120
2687200,100 London Cats,1121
2564450,Auroria,1122
2495320,Monsterpatch,1123
3743260,Virtue and a Sledgehammer,1124
1924600,March of Giants,1125
