appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
3196440,Vacation Cafe Simulator,Vacation Cafe Simulator,246,241,5,5,up,none,Unpriced (Coming Soon),Free,True,"Aug 20, 2026",Coming soon,True
1920290,Barkour,Barkour,1103,1099,4,4,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,Q4 2026,True
1872970,Food Truck Empire,Food Truck Empire,764,761,3,3,up,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,2026,True
2977260,The Guild - Europa 1410,The Guild 1 Remake: Europa 1410,178,179,-1,1,down,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,September 2026,"Sep 17, 2026",True
