appid,title_old,rank_old
4631110,Trashy Cashy,2054
2388440,Battlecore Robots,2326
2765790,Dreadweave,2327
1188410,Mouseward,2328
4264000,Orion Blue,2329
2971500,Fast Food - Restaurant Simulator,2330
2144500,Love n War: Warlord by Chance II,2331
1894120,ILL NESS,2332
4089520,Bronzebeard's Tavern 2,2333
2083940,DROSS,2334
1532910,Supermarket Simulator,2335
2379160,Signy & Mino: Against All Gods,2337
3325610,IDET,2338
3235150,Exile Protocol,2339
4542740,Dinghai: The Ocean Pillar,2340
3730680,Table Tactics: physics-driven tabletop battles,2341
791630,Tale of Ronin,2342
1220390,[Chilla's Art] Jimmu | 神武,2343
1764280,Dungeons of the Amber Griffin,2344
2451390,Witchmarsh: Tea Party of the Damned,2345
1161780,OTHER: Her Loving Embrace,2346
1545080,Arran: The Book of Heroes,2347
2725610,Haunted Bloodlines,2348
3993200,b-e-e-t-l-e: be right back!,2349
3222890,Taste of the Wind,2350
