appid,title_new,rank_new,price_text_new,release_text_new
3745920,Safeguard Saga,1133,Unpriced (Coming Soon),To be announced
1415600,Frequency: Chernobyl,2059,Free,Coming soon
4117730,Slayblade,2679,Free,Coming soon
4336170,Age of Empires IV: Raiders of the North,2728,Unpriced (Coming Soon),Q4 2026
4498320,The Wandering Village: The Last Leviathan,2778,Unpriced (Coming Soon),To be announced
3237520,The Alters: Last Variable,2827,Unpriced (Coming Soon),"Jul 13, 2026"
4768180,Cronos: Lazarus,2867,Unpriced (Coming Soon),To be announced
4542740,Dinghai: The Ocean Pillar,2903,Free,Coming soon
4564640,SATED,2918,Free,Coming soon
2999500,STUNTBOOST,2975,Unpriced (Coming Soon),2026
4310440,Crown Siege,2994,Unpriced (Coming Soon),2026
