appid,title_new,rank_new,price_text_new,release_text_new
4245560,Spyro™: A Realm Beyond,1066,Unpriced (Coming Soon),To be announced
2153760,Stronghold 4,1085,Unpriced (Coming Soon),2026
3676410,Senua,1223,Free,Coming soon
3299300,Magicians: The Devil's Deal,1226,Free,2027
4102480,Vampire: The Masquerade — ETERNAL WHISPERS,1321,Free,Coming soon
2924540,Crazy Taxi: World Tour,1343,Free,2027
3327430,Carcass Clad,1557,Unpriced (Coming Soon),To be announced
3802140,Cassette Beasts 2002,1600,Unpriced (Coming Soon),To be announced
4735760,Vivarium,1641,Unpriced (Coming Soon),To be announced
4278970,Bad Magpie,1746,Free,Coming soon
4200960,Thief: The Dark Project Remastered,1767,Unpriced (Coming Soon),To be announced
3469450,DOOM: The Dark Ages | Revelations,1795,Unpriced (Coming Soon),"Jul 7, 2026"
2786760,Another Door,1844,Unpriced (Coming Soon),2026
4744030,Star Trek: Shadow Frontier,2187,Free,Coming soon
4687390,Abiotic Factor - Entropic Break,2200,Unpriced (Coming Soon),Q4 2026
2843060,Into the Wind,2235,Unpriced (Coming Soon),To be announced
2409660,Wardens of Avalon,2329,Free,2027
4691270,Company of Heroes - Definitive Edition,2449,Unpriced (Coming Soon),To be announced
2523380,Red Kiss,2602,Free,Coming soon
2483700,HARMA,2689,Free,Coming soon
2374540,DeadRoot,2713,Unpriced (Coming Soon),To be announced
3564410,Slap Out Of It!,2755,Unpriced (Coming Soon),To be announced
3247960,Bergfried,2789,Unpriced (Coming Soon),To be announced
4582880,Signet City,2813,Free,Coming soon
4363380,Wicked Delights,2858,Unpriced (Coming Soon),To be announced
4159720,Hack '95,2861,Unpriced (Coming Soon),To be announced
3930480,Dungeon Tourists,2872,Unpriced (Coming Soon),To be announced
4480060,Hidden Folks 2,2892,Free,2027
3832380,Bao Bao's™ Cozy Cleaning Services,2895,Unpriced (Coming Soon),To be announced
2434930,Blue Ridge Hunting,2945,Unpriced (Coming Soon),August 2026
4225250,DarkBazaar,2964,Unpriced (Coming Soon),Q3 2026
3307340,Cast Outs,2965,Unpriced (Coming Soon),To be announced
3164310,Verde,2976,Free,Coming soon
3570350,Silkgrove,2983,Unpriced (Coming Soon),To be announced
3469910,Star Trek: Outposts Unknown,2992,Unpriced (Coming Soon),2026
