appid,title_old,rank_old
3929630,Terrinoth®: Heroes of Descent,587
2262020,Exo Rally Championship,1304
1415600,Frequency: Chernobyl,2026
3080070,Order: The New Dawn,2966
3226060,DreamEcho,2967
3386670,Dr.Mememe want to sleep,2968
3361950,Inhuman,2969
3761680,Urban Yuri: A Lady's Romance Manifesto,2970
2960390,Nutty Dungeons,2971
717930,DEADHUNTERS,2972
3279600,The Thrill of the Fight 2 Spectator,2973
4157430,Diggin,2974
1094450,Spies & Soldiers,2975
2766910,PengPong,2977
2784150,The Last Rose,2978
3589910,Voivod: The Nuclear Warrior,2980
4145350,Alice and the Devil's Prison,2981
1298200,Crazy Lemmings,2982
3205880,CORPSE CARNIVAL,2983
3902800,[HERROR] Gas Station Case,2984
2934330,RADIOSOL,2985
3282420,Zoominoes,2986
2617870,PSYCHOFINGER,2987
2953940,Ancient Wars: Sparta HD,2988
2412740,Ascent Quest,2989
1372650,DAMN!,2990
1651400,Touhou: the Unreachable Oneiroborder,2991
3253930,Rhythm Hotel,2992
1643800,HeartLinks: A Puzzle Called Love,2993
3998510,Cyclopean II: The Dreamlands,2994
2476150,Stickfigurez,2995
3646950,Ghost Hunting Journal,2996
1434840,Dungeons & Kingdoms: Prologue,2997
3618000,Hordeguard: Winds of the North,2998
2111430,Forgotten house,2999
