appid,title_old,rank_old
4060980,Tinkernest,1500
4295810,A Whisper of Fall: Jinyiwei,1501
3512750,Vampire's Veil,1502
1892100,HEART ABYSS,1503
2058960,Earthless,1504
685560,Arenus,1505
2888960,Graytail,1506
1261370,WILDLANDS,1507
4093320,Beastfolk Barber,1508
2561340,Deliver Us Home,1509
2921580,IMMORTAL: Gates of Pyre,1510
4183580,Stationbreak,1511
3836490,Lead The Dragon,1512
4240150,Sister Other Paranoia,1513
4225250,DarkBazaar,1514
1965470,Barkhan,1515
4001650,Cast n Chill - Eastern Winds,1516
3557890,Mann Versus Zombies,1517
4339280,ShipShaper,1518
4042160,Static Dread: The Submarine,1519
782940,RAWMEN: Food Fighter Arena 🍜,1520
4110140,Harvest Skies: Crop Dusting Simulator,1521
3439410,HellHeart Breaker,1522
3276270,Fallen Fates,1523
612660,Just Us,1524
3577020,Clean Start,1525
