appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
3642010,Truck-kun is Supporting Me from Another World?!,Truck-kun is Supporting Me from Another World?!,2124,2044,80,80,up,upward_spike,Free,Unpriced (Coming Soon),True,Coming soon,"Jul 29, 2026",True
3841510,DYNASTY WARRIORS 3: Complete Edition Remastered,DYNASTY WARRIORS 3: Complete Edition Remastered,517,498,19,19,up,none,Unpriced (Coming Soon),$39.99,True,2026,"Sep 30, 2026",True
1952620,The Lost Wild,The Lost Wild,103,92,11,11,up,none,Unpriced (Coming Soon),Free,True,To be announced,2027,True
1636440,SILENT HILL: Townfall,SILENT HILL: Townfall,198,189,9,9,up,none,Unpriced (Coming Soon),$49.99,True,2026,"Sep 23, 2026",True
672890,Sparkball,Sparkball,2364,2371,-7,7,down,none,Free,Unpriced (Coming Soon),True,Q2 2026,Q2 2026,False
2638890,Onimusha: Way of the Sword,Onimusha: Way of the Sword,29,25,4,4,up,none,Unpriced (Coming Soon),$69.99,True,2026,"Sep 24, 2026",True
3669870,CONTROL Resonant,CONTROL Resonant,43,39,4,4,up,none,Unpriced (Coming Soon),$59.99,True,2026,"Sep 24, 2026",True
2288340,ACE COMBAT 8: WINGS OF THEVE,ACE COMBAT 8: WINGS OF THEVE,57,54,3,3,up,none,Unpriced (Coming Soon),$69.99,True,2026,"Oct 1, 2026",True
1757350,ILL,ILL,13,11,2,2,up,none,Unpriced (Coming Soon),Free,True,To be announced,2027,True
3079210,Hell Let Loose: Vietnam,Hell Let Loose: Vietnam,31,30,1,1,up,none,$35.99,$35.99,False,"Jun 18, 2026","Aug 13, 2026",True
3161310,Hela: of Mice & Magic,Hela: of Mice & Magic,63,62,1,1,up,none,Unpriced (Coming Soon),Free,True,"Dec 31, 2026",Coming soon,True
3399610,Tokatonton: One-Armed Blacksmith,Tokatonton: One-Armed Blacksmith,2538,2539,-1,1,down,none,Unpriced (Coming Soon),Free,True,2026,2027,True
4115450,Phantom Blade Zero,Phantom Blade Zero,14,14,0,0,stable,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Sep 8, 2026","Oct 28, 2026",True
3558670,Tomb Raider: Legacy of Atlantis,Tomb Raider: Legacy of Atlantis,28,28,0,0,stable,none,Free,$59.99,True,Coming soon,"Feb 12, 2027",True
