appid,title_new,rank_new,price_text_new,release_text_new
1473260,Black Gold: Oil Drilling Simulator,1527,Unpriced (Coming Soon),Q2 2026
4084710,Rayman Legends Retold,1655,$39.99,Coming soon
3866080,Stick A Round,1779,Unpriced (Coming Soon),To be announced
2287370,Anima Song from the Abyss,1990,Free,Coming soon
3596430,Bancho the Chef,2100,Unpriced (Coming Soon),To be announced
4049180,Disney•Pixar Toy Story 3 Complete Edition,2227,Unpriced (Coming Soon),"Oct 15, 2026"
2502870,Kanun 1919,2554,Unpriced (Coming Soon),2026
4049170,Disney•Pixar Toy Story: Retro Roundup!,2732,Unpriced (Coming Soon),"Oct 15, 2026"
4484810,Winter Whiskers,2994,Unpriced (Coming Soon),2026
3901760,Crystal Project 2,2995,Unpriced (Coming Soon),To be announced
