appid,title_old,rank_old
2209900,Moonlight Peaks,129
2276810,JunkTok: Paranormal Investigators Challenge,1401
2658410,Soul Blade,1402
3316500,DMZ: Nuclear Survival,1403
992840,Car Wash Simulator,1404
1684370,Drug Grower Simulator,1405
3445610,BOMBSHELL BLITZ,1406
3256040,Shardbreakers,1407
4066670,Love & Fool's Gold,1408
2755990,Miss Paint,1409
3983620,Tonight’s Special,1410
4211060,Meaningless Random Numbers,1411
2986110,Rover's Tale,1412
2537650,MEATSHOT,1413
3075410,Hand of Fate: Hordes,1414
2999120,Retrieval,1415
3722130,Indigo Park: Chapter 2,1416
1303940,Faraway Lands: Rise of Yokai,1417
3588150,The Bureau of Fantastical & Arcane Affairs,1418
4442750,Void Hunters,1419
2591630,The Edge of Water,1420
1253800,The Pope: Power & Sin,1421
3592940,Flesh & Wire,1422
1030780,Afterconflict,1423
3334760,Awaysis,1424
3856030,Bolt Action,1425
