appid,title_old,rank_old
2527160,Desktop Explorer,299
3219010,Fogpiercer,554
3950130,Database Detective: Minor Crimes Division,854
4775410,Jeffrey Eggstein,1085
1252070,STARHOME,1226
3649680,Tiny Shop: make it cozy,1230
1992100,Gas Station Simulator - Shady Deals DLC,1231
3082730,HYPERyuki: Snowboard Syndicate,1232
2872600,Colonies of The Remnant,1233
2282790,RIFTSTORM,1234
1958160,moorestech,1235
3831680,SCP Containment Breach,1236
3460960,Echograph,1237
1518330,Pirate Simulator,1238
3542500,"Please, Watch The Artwork",1239
1717730,LUCID,1240
3148560,Project TurboBlast,1241
3151360,Agni: Village of Calamity,1242
1142570,We Stay Behind,1243
3106270,HELLCARD II,1244
3738890,Frontline Logistics: Isarian Warfare,1245
4414620,Book Nook,1246
3763470,Wu-Tang: Rise of the Deceiver,1247
1384180,Cloud Exiles,1248
1952920,Strikers Club,1249
3621690,My Eerie Lair,1250
