appid,title_new,rank_new,price_text_new,release_text_new
3094690,Elflock,652,Unpriced (Coming Soon),To be announced
3688240,Pipes.exe,2703,Free,Coming soon
4507990,Wo Long 2: Wings of Ember,2725,Free,Q1 2027
4712630,In The Drift,2915,Unpriced (Coming Soon),To be announced
4458440,Pelican Post,2935,Free,Coming soon
2211630,Duskers 2.0,2946,Free,Coming soon
4463520,Moomin: Midsummer Madness,2962,Unpriced (Coming Soon),2026
4603230,HEADCUTTER,2976,Unpriced (Coming Soon),To be announced
3979570,Factomancer,2979,Unpriced (Coming Soon),Q4 2026
2489950,Tales Of Wakana,2989,Unpriced (Coming Soon),"Jun 15, 2026"
