appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
4732690,Arknights: Endfield,Arknights: Endfield,985,910,75,75,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3817250,"CICADAMATA""","CICADAMATA""",1031,996,35,35,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 21, 2026","Aug 21, 2026",False
4738100,10 Million Pixels,10 Million Pixels,994,964,30,30,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4240150,Sister Other Paranoia,Sister Other Paranoia,798,771,27,27,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 14, 2026","Aug 14, 2026",False
2945040,Shot One Fighters,Shot One Fighters,1034,1009,25,25,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4280880,SHORE,SHORE,1055,1031,24,24,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
1996090,Vapor World: Over The Mind,Vapor World: Over The Mind,818,798,20,20,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Aug 18, 2026","Aug 18, 2026",False
4664840,In the Van,In the Van,1106,1086,20,20,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
