appid,query,video_id,url,title,contents_preview,published_at,date_classification,evidence_type
4775410,"""Jeffrey Eggstein"" trailer",-j0rjlfmDx4,https://www.youtube.com/watch?v=-j0rjlfmDx4,Jeffrey Epstein: Filthy Rich | Official Trailer | Netflix,"The Full Story on Jeffrey Epstein Revealed. From Lisa Bryant, Academy Award Nominee Joe Berlinger (Conversations with a ...",2020-05-13T16:00:00+00:00,outside_window,youtube_video
4775410,"""Jeffrey Eggstein"" trailer",APqdgyZmoO0,https://www.youtube.com/watch?v=APqdgyZmoO0,Launching Tomorrow: Jeffrey Eggstein,shorts #SteamGames #UpcomingGames #PCGaming #GameRelease #NewSteamReleases #GameplayPreview #IndieGames ...,2026-06-25T10:00:07+00:00,inside_extended_window,youtube_video
4775410,"""Jeffrey Eggstein"" trailer",CzejLgUFM38,https://www.youtube.com/watch?v=CzejLgUFM38,Jeffrey Epstein: Bad Pedophile | Official Teaser Trailer,Forget everything you already know about America's most notorious dead person. Jeffrey Epstein: Bad Pedophile is in select ...,2025-09-25T15:00:33+00:00,outside_window,youtube_video
4775410,"""Jeffrey Eggstein"" trailer",drbH1UFUE0s,https://www.youtube.com/watch?v=drbH1UFUE0s,Jeffrey Epstein: Bad Pedophile | Official Trailer,Did you kill Jeffrey Epstein? Buy your tickets to Jeffrey Epstein: Bad Pedophile at www.theonion.com/badpedophile now to find out ...,2025-09-30T18:00:42+00:00,outside_window,youtube_video
4775410,"""Jeffrey Eggstein"" trailer",hzkHrLFVZfg,https://www.youtube.com/watch?v=hzkHrLFVZfg,Surviving Jeffrey Epstein - Extended Trailer | Lifetime,"If you or someone you know is a victim or survivor in need of help, please reach out to RAINN at 800.656.HOPE, online.rainn.org y ...",2020-08-03T16:29:47+00:00,outside_window,youtube_video
4775410,"""Jeffrey Eggstein"" gameplay",APqdgyZmoO0,https://www.youtube.com/watch?v=APqdgyZmoO0,Launching Tomorrow: Jeffrey Eggstein,shorts #SteamGames #UpcomingGames #PCGaming #GameRelease #NewSteamReleases #GameplayPreview #IndieGames ...,2026-06-25T10:00:07+00:00,inside_extended_window,youtube_video
4775410,"""Jeffrey Eggstein"" gameplay",KS5T9NU77Zg,https://www.youtube.com/watch?v=KS5T9NU77Zg,jeffy eggy,wishlist Jeffrey Eggstein on Steam NOW.,2026-06-09T22:50:57+00:00,inside_extended_window,youtube_video
4775410,"""Jeffrey Eggstein"" gameplay",1AOnsrqHkxo,https://www.youtube.com/watch?v=1AOnsrqHkxo,Launching Tomorrow: Jeffrey Eggstein,shorts #SteamGames #UpcomingGames #PCGaming #GameRelease #NewSteamReleases #GameplayPreview #IndieGames ...,2026-07-16T10:00:16+00:00,inside_spike_window,youtube_video
4775410,"""Jeffrey Eggstein"" gameplay",Wqr8BNoDKy4,https://www.youtube.com/watch?v=Wqr8BNoDKy4,Jeffrey Eggstein Coming Soon,Dubby #SolarMachete #Solo #SinglePlayer #SoulsLike #Horror #nightreign #eldenring #blindplaythrough #bestmoments Donos ...,2026-06-17T05:12:14+00:00,inside_extended_window,youtube_video
4775410,"""Jeffrey Eggstein"" gameplay",lNS71AaI4a0,https://www.youtube.com/watch?v=lNS71AaI4a0,Bioshock [9] - Jeffrey Eggstein,SUBSCRIBE TODAY! THANKS FOR WATCHING! #game #games #gamer #gaming #gamingvideos #gamingvideo #gameplay ...,2026-06-10T00:28:39+00:00,inside_extended_window,youtube_video
