appid,title_old,rank_old
4394810,DAVE THE DIVER - In the Jungle Content Pack,251
3194740,FUMEHEAD,2247
3908940,Inferno Protocol,2303
3975750,The Gate Must Stand,2458
1121670,Excavator Simulator,2623
3538070,Greed & Darkness,2625
1555960,Crime Scene Technician,2627
1809090,Kraino Rebirth,2628
2362040,Into the Underworld,2630
1520600,Build and Discover: America,2631
3114850,FLS,2632
3625840,EMPTY SHELL 2,2633
3479420,Okko The Exiled,2634
3833730,General Practice,2635
2098690,CALME,2636
732970,Beyond Clouds,2637
1874980,Ready for Riot,2639
3301350,Sleep Well Cemetery,2640
2879790,Son of Thanjai,2642
2368490,Montaro 2,2643
3897090,Temple Maker 64,2644
1126210,the machine that BREATHES,2645
649560,L.A.P.D. 2195,2646
1571260,fault - milestone two side: below,2647
2570110,Angel of Death,2648
4175710,Dwarves: Idle Battles,2649
1953850,VICE Undercover,2650
