appid,title_new,rank_new,price_text_new,release_text_new
4824610,Resident Evil Veronica,265,Free,2027
1884870,The Wolf Among Us 2,1474,Free,Coming soon
4716160,HITMAN Classic Trilogy Remastered,1679,Free,Coming soon
3884860,The Wolf Among Us Remastered,2277,Free,Coming soon
3387300,Lost Ruins of Arnak,2359,Unpriced (Coming Soon),To be announced
4492700,Mafia: The Old Country - Man of Honor,2707,Unpriced (Coming Soon),"Aug 14, 2026"
4400800,American Truck Simulator - Indiana,2771,Unpriced (Coming Soon),To be announced
3930510,Don't Let It Starve,2861,Unpriced (Coming Soon),"Jun 12, 2026"
4059000,Cozy Builder,2897,Free,Coming soon
4098030,Shipping Store Simulator 2037,2917,Free,Coming soon
3799720,House of Saturn,2941,Free,Coming soon
4110770,Apple Crumble,2958,Unpriced (Coming Soon),2026
4285930,Rakshasa,2984,Free,Coming soon
3040930,Just A Shadow Game,2992,Free,2027
