appid,title_old,rank_old
994560,Metal Revolution / 金属对决,1450
2561630,Moonfrost,1451
2771630,Project C██████,1452
2278950,Stars of Icarus,1453
2707670,SCP: Valravn,1454
3074980,Earths Edge,1455
2646170,My Arms Are Longer Now,1456
1502750,My Familiar,1457
3197890,LURKS WITHIN WALLS,1458
3187650,Jigrift,1459
2870250,Layers Deep,1460
3084810,Tower Lab,1461
1602300,The Grotto Diary,1462
2747660,Zombie Assault: Resurgence,1463
3769800,Elevator,1464
4703930,Grilluminati,1465
2636460,Dungeons Deep,1466
2780230,PIGGY ONE SUPER SPARK,1467
4744030,Star Trek: Shadow Frontier,1468
2451040,Scarlet Lake,1469
3209950,MARINES VS GOD,1470
3285880,MONOMOON,1471
4420730,GACHIAKUTA: The Game,1472
2379350,Scramble Knights Online,1473
3017770,Zlin City: Diorama,1474
3987060,If Red Then Stop,1475
