appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
4651830,CINDER CITY,CINDER CITY,1268,1155,113,113,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4393700,Elderfeast,Elderfeast,821,766,55,55,up,upward_spike,Free,Free,False,2027,2027,False
4788240,Night Shift Hospital,Night Shift Hospital,1007,966,41,41,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
2478130,Wild Wild Eden,Wild Wild Eden,893,859,34,34,up,upward_spike,Free,Free,False,Q1 2027,Q1 2027,False
3734220,Guns of Eschaton,Guns of Eschaton,802,773,29,29,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4311530,Very Safe Dino Park 🦖,Very Safe Dino Park 🦖,551,525,26,26,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3918200,港警成雙：來自城寨 Dual Fire Walled City,港警成雙：來自城寨 Dual Fire Walled City,729,703,26,26,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4294490,"KOTAMON: My Sis Found A Super-Rare Card In Her Cereal Box, So I Became A Garbage Man To Find The Entire Collection And Earn $1,000,000","KOTAMON: My Sis Found A Super-Rare Card In Her Cereal Box, So I Became A Garbage Man To Find The Entire Collection And Earn $1,000,000",1242,1218,24,24,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4119710,Give Us A Sign,Give Us A Sign,1088,1066,22,22,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3922000,Neighborhoods,Neighborhoods,913,892,21,21,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
