appid,title_old,rank_old
3429280,ATOM RPG 2,2441
3799720,House of Saturn,2464
2838030,Witherbloom,2466
3100970,Isle of Reveries,2469
2138340,Ships Simulator 2024,2470
4418500,Fangstorm,2471
2545880,HistoriCity: Florence,2472
3144060,World of the dead,2474
3830320,Ballgame,2475
1997330,OMUT,2476
3387300,Lost Ruins of Arnak,2477
3309160,Chronocracy,2478
3105190,CHILDREN OF SATURN,2480
4005880,DETOUR,2481
3339080,Wyrmspan,2482
2145090,Combustion,2483
3252240,Mircea,2485
3520410,10hit,2487
1362620,Camper Renovator,2488
2789170,Bernband,2489
3015360,Shiba Sweet,2490
1784650,BOSS FIGHTERS,2491
2506520,GHOSTLESS,2492
2105070,Another Space Opera - Episode 1: The Wake of The Giant,2493
3003430,TINY METAL 2,2494
3981460,Total Tank Simulator 2,2495
4465980,The Declutterers : No Dumpster Left Empty,2496
3248910,Deserter,2497
3827740,Tapestry,2498
1155850,Lost Viking: Kingdom of Women,2499
3002610,Pebbles Quest,2500
4225400,I.T. Never Ends,2501
2584400,Beaten Path,2502
287820,Silent Escape: Induction,2503
2820270,Weeny Wise,2505
3275400,PATLABOR the Case Files,2506
668900,Murder Miners X,2507
1833210,Astromine,2508
2349840,MOBA Esport Manager 25,2509
3846290,Doomsday Diner,2510
3549390,EXOSHOCK,2513
2363160,Haphazard Angel,2514
3357050,Cozy,2515
4498500,Kopno: Blightfall,2516
885160,BOTSU,2517
1485640,The Day After,2518
2828540,RollerGirl,2519
2898770,Die Trying,2520
4124320,Silent Road,2521
2438110,Emergency Room Simulator,2523
4660170,Witch Shop Simulator,2524
1765920,Gimle: The Broken Prophecy,2525
