appid,title_old,rank_old
2474770,Momento,363
2984800,Double Whammy,1862
3683940,Replay Value: Second Hand Games,2631
1637560,Crawlyard,2962
2210240,Hoglands,2969
1432340,Loveland,2971
3741500,LIMP KNIGHT,2972
1742740,Ribby: The Game,2973
3202290,Chess Arena,2975
2563880,Ghost Hand,2977
4001350,Iron Blight,2978
1122160,On Air,2979
4110720,Shardpunk 2,2980
1250090,Housebreaker,2981
3488690,Vision Quench,2982
772260,NitorInc.: Touhou Microgames!,2983
3484670,Blanksword,2985
1437790,Fields of Fear,2986
1460790,Bartender Simulator,2987
3384570,Planet Party Time,2988
1583020,Bunker Survival,2989
3936190,Freshly Folded: Laundry Shop,2990
3586450,World Tree Ranch: Elven Legacy,2991
1890310,Rogue Blight,2993
4255580,Mouse X,2994
2341620,Alpine Lake,2995
3742720,Sobakistan: The Land of Dogs,2996
2792540,Anima Keeper,2997
1985940,Abyss Fantasia,2998
