appid,title_new,rank_new,price_text_new,release_text_new
4669960,Dungeon Lurker,960,Unpriced (Coming Soon),To be announced
2590330,Dino Run 2,1514,Unpriced (Coming Soon),To be announced
4251460,Godzilla: Destroy All Monsters Melee Remastered,1704,Unpriced (Coming Soon),"Nov 3, 2026"
3297110,Anemorie,2400,Free,Coming soon
4250680,AGX GP,2477,Unpriced (Coming Soon),Q3 2026
3053470,MR. RECORDS,2564,Unpriced (Coming Soon),To be announced
4060980,Tinkernest,2698,Unpriced (Coming Soon),To be announced
4296370,Every Wednesday,2743,Free,February 2027
1965550,Wildaria,2760,Unpriced (Coming Soon),Q3 2026
3814270,Froggy Brews,2774,Unpriced (Coming Soon),To be announced
4781330,Vampire Survivors: Legacy of the Bloodmoon,2795,Unpriced (Coming Soon),2026
3933180,Torii: Beyond The Gates,2821,Free,Coming soon
3846290,Doomsday Diner,2822,Unpriced (Coming Soon),"Jul 23, 2026"
2365920,Scarlet Record,2831,Unpriced (Coming Soon),To be announced
4093320,Project Salon,2846,Unpriced (Coming Soon),To be announced
2743290,Lazy River,2852,Unpriced (Coming Soon),To be announced
3348210,Super Yooka-Laylee Kart,2859,Unpriced (Coming Soon),To be announced
2506520,GHOSTLESS,2874,Unpriced (Coming Soon),To be announced
3333380,Dungeon Hotpot,2876,Unpriced (Coming Soon),To be announced
2360820,Tempus Vitae,2886,Free,2027
4670880,Bathory - Heritage of Blood,2909,Free,2027
3888420,Kumarn: The Wandering Spirit,2924,Free,Coming soon
2644100,Allogloom,2949,Free,Coming soon
2932260,Trine 6: Together in Time,2950,Unpriced (Coming Soon),"Sep 17, 2026"
3936530,Pro Cycling Manager 26,2981,Unpriced (Coming Soon),"Jun 15, 2026"
2306490,GNAW,2984,Free,Coming soon
4032350,EA SPORTS™ College Football 27,2986,$69.99,"Jul 9, 2026"
3610790,Hope in the City,2991,Unpriced (Coming Soon),To be announced
3846580,Lost in Tandem,2996,Unpriced (Coming Soon),To be announced
