appid,title_new,rank_new,price_text_new,release_text_new
3348690,Lionhearts,2247,Unpriced (Coming Soon),To be announced
4364910,Ruins of Dawn,2265,Free,Coming soon
4669960,Dungeon Lurker,2467,Unpriced (Coming Soon),To be announced
3503790,PROHIBEAST,2927,Unpriced (Coming Soon),"Jun 3, 2026"
3375890,Ogre Chambers 2222,2960,Unpriced (Coming Soon),"Jun 8, 2026"
4409870,Slots & Diapers,2976,Unpriced (Coming Soon),"Jun 3, 2026"
4353630,Summer Sisters,2978,Unpriced (Coming Soon),"Jun 19, 2026"
3820540,The Grey Elegy: Under the Cursed Wings,2987,Unpriced (Coming Soon),To be announced
4004820,FreeStyle Football 2,2988,Unpriced (Coming Soon),To be announced
4047270,Orc Incremental,2993,Unpriced (Coming Soon),2026
1553590,Saveseeker,2996,Unpriced (Coming Soon),2026
