appid,title_old,rank_old
1380980,Sonzai,1600
2731030,Algolemeth,1602
2590330,Dino Run 2,1603
3039980,Sigils of Nightfall,1604
3973160,Crimson Freedom,1605
2165040,Sally,1606
1713730,Moadra,1607
4736790,Tactics Wanderer,1608
3322630,Culdcept BEGINS,1609
2408030,Anime Tokyo,1610
3772190,HALLOW BLADE,1611
2518790,Hieronymus,1612
3845210,Papa Needs a Headshot,1613
3581910,Victory Banner,1614
1576780,WWII Online: Chokepoint,1615
1159150,BOC: Birth of Cultures,1616
2284140,GREENFIELD,1617
1207690,My Work Is Not Yet Done,1618
4339680,Totally Safe Moon Project,1619
3466240,Valkyrie Iteration: Mecha Pilot Raising Pocket Simulator,1620
2514620,Touhou Dungeon Maker: The labyrinth of heart,1621
1325580,The Mighty Eighth VR,1622
2349420,ELDRIMAR,1623
764930,Hubert,1624
2716830,Don't Fret,1625
