appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
2593290,Dragon's Dogma 2: Dark Arisen Expansion,Dragon's Dogma 2: Dark Arisen Expansion,1379,1241,138,138,up,upward_spike,$29.99,$29.99,False,"Oct 8, 2026","Oct 8, 2026",False
4012150,BREKEKEKEX,BREKEKEKEX,1498,1375,123,123,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3846900,Sword Sage: Awakening,Sword Sage: Awakening,1563,1462,101,101,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4745600,Motorsport Manager 2,Motorsport Manager 2,1358,1264,94,94,up,upward_spike,Free,Free,False,2027,2027,False
4713940,Monster Fantasy,Monster Fantasy,973,902,71,71,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4533250,GrassChopper,GrassChopper,1218,1153,65,65,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4380490,Cat Mail Co.,Cat Mail Co.,628,580,48,48,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 6, 2026","Jul 6, 2026",False
4859110,Horn Of Africa,Horn Of Africa,1315,1268,47,47,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4123070,MonCraft 199X,MonCraft 199X,1439,1395,44,44,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4119710,Give Us A Sign,Give Us A Sign,1553,1511,42,42,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4800590,Supermarket Chaos,Supermarket Chaos,1166,1124,42,42,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 29, 2026","Jun 29, 2026",False
3765010,Forensics: Crime Scene Detective,Forensics: Crime Scene Detective,790,748,42,42,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 13, 2026","Jul 13, 2026",False
2841710,Vermin,Vermin,1356,1321,35,35,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3681610,DRAGON QUEST MONSTERS: The Withered World,DRAGON QUEST MONSTERS: The Withered World,1461,1431,30,30,up,upward_spike,$59.99,$59.99,False,"Dec 3, 2026","Dec 3, 2026",False
4032350,EA SPORTS™ College Football 27,EA SPORTS™ College Football 27,1477,1447,30,30,up,upward_spike,$69.99,$69.99,False,"Jul 9, 2026","Jul 9, 2026",False
4623570,Deskrawl: Idle ARPG,Deskrawl: Idle ARPG,1519,1491,28,28,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
2743290,Lazy River,Lazy River,1532,1506,26,26,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4413070,Red Chat Ritual  – TSUMIMI TIME,Red Chat Ritual  – TSUMIMI TIME,899,878,21,21,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,October 2026,October 2026,False
4246860,Security 51,Security 51,950,929,21,21,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 27, 2026","Jul 27, 2026",False
4048520,HAELE 3D - Pose Studio Max - Anatomy Drawing References,HAELE 3D - Pose Studio Max - Anatomy Drawing References,810,790,20,20,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
1735370,Necrowave,Necrowave,1717,1697,20,20,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
