appid,title_old,rank_old
2895410,Monsterest,1276
2964560,Happy Bastards,1277
3867190,Rance 03,1278
3370270,Backrooms,1279
1288540,Jupiter Moons: Mecha🦾,1280
3126990,Sealubbers,1281
3164360,Age of Respair,1282
3829400,Grand Tactician: Napoleonic Wars (1792-1815),1283
3282110,Sakichan - Track Of Fury,1284
3727090,Horses of Hoofprint Bay,1285
2298250,GearGrit,1286
4341010,Lost Track,1287
3473430,All Our Broken Parts,1288
2528170,The Hearth and Harbour,1289
1736220,Might of Merchants,1290
2214460,Project Feline,1291
1065740,REPO MAN,1292
912000,Mike goes on hike,1293
3275050,Ex Sanguis,1294
2593340,Wonderia,1295
2939510,Under Canopies,1296
2243990,Withersworn,1297
3869850,Welcome to the Game III,1298
3544130,Soul Chained,1299
4054220,Unleash The Avatar,1300
