appid,title_old,rank_old
4252290,Meowgic,701
4353630,Summer Sisters,1361
3392490,Moon River,2057
3975500,Poem of the Starherd,2448
1418750,Paws and Leaves - A Last Tale,2549
1445480,Determinant,2550
4307930,MECH OPS 2092,2551
706680,Brave Earth: Prologue,2552
2853290,Free Stars: Children of Infinity,2553
4406280,the cabin game,2554
1798110,Drug Lord Simulator,2555
3539320,Scribble Wolf,2556
2116290,Soda-Powered Penguin,2557
4285870,Pigs and Wolf,2558
1876420,Northward,2560
3509590,Rogue Stradale,2561
672890,Sparkball,2563
3918250,Frutigeropolis: The Promised City,2564
4639050,Battle Queen,2565
3177760,Critterville Goes Bankrupt,2566
2438180,Doggy Don't Care,2567
4349020,Late Night Manifest,2568
4102890,The Many Sins of House Ocampo,2569
2095970,Voice.ai Live Voice Changer,2570
2543460,Van Helsing: The Lightmaker,2571
3082020,Portal: Intrusion,2572
2024400,Rygrad,2573
1174510,Call of Saregnar,2574
2477470,The Chronos Event,2575
