appid,title_old,rank_old
4323990,EMPULSE,200
4144680,DEAD OR ALIVE 6 Last Round,684
1466520,Omen Exitio: Hunger,2188
3396920,Settler's Domain,2222
3495990,FEAR FA 98,2223
4444800,Obey Me! Sinner's Choice: Lucifer,2224
4274990,Minibus Simulator,2225
3542300,Car Wash Together,2226
4043810,Syncblade,2227
4364910,Ruins of Dawn,2228
1502290,My Neighbor Alice,2229
2374540,DeadRoot,2231
2470990,Llamalandia,2232
3446770,Sakura Arms ~Radiant Duels~,2233
2322070,RhythMania,2234
2801940,Scavenger T.O.M,2235
1897030,Prison King,2236
3954990,S.A.N.D.Y. - Beach Cleaner,2237
3128360,Touhou Akis' Farm,2239
4242890,Encryptid,2240
2393290,They Speak From The Abyss: Zenith,2241
1609270,Touhou Koi-Mystery: Legend and Fantasy of Monsters,2242
2152830,BadSmith,2243
3867080,Darklord's Tower,2244
1122230,Knights & Outlaws,2245
3367710,The Abyss Break,2246
3383670,Hotel Investigation 09,2247
1558030,Tales of Anturia: Farathan,2248
3450780,Primordial Empire,2249
1690100,Cosminers,2250
3832660,Claim Denied,2251
3797460,frutiger aero,2252
4761940,Smalland 2: Lost Realms,2253
3579070,Disposable Corps: Tactical Trench Warfare,2254
904850,Fat[EX] Courier Simulator,2255
17750,Obsidian Conflict,2256
2691090,14:  Overmind,2257
4402250,Disgaea Mayhem,2258
2257830,Moth Kubit,2259
1081830,Blood And Mead,2260
4022090,Monk Took Book,2261
1876420,Northward,2262
2999500,STUNTBOOST,2263
3979570,Factomancer,2264
2113270,DISDAIN,2266
3680470,Touhou Dream Duel,2267
4187860,Sunday Scaries,2268
3979580,ARBITER 131,2269
2755270,"South Scrimshaw, Part Two",2270
3919400,黄莓C HuangmeiC,2271
1412810,Kokopa's Atlas,2272
1962360,RUNNING WITH RIFLES: EASTERN FRONT,2273
3989650,Stop the Press!,2274
4564640,SATED,2275
3963050,Eyes Of The ElderWood,2276
3393720,Ramen Shop Simulator,2277
4213930,Salty Dogs,2278
2435810,BLACK BOX LSS - The Merciful Savior,2279
3152750,Taival,2280
2404960,Paranormal Records,2281
2081720,Epic Hero Game,2282
1425990,From Day To Day,2283
4437450,Nekopara Sekai Connect,2284
2071630,ExpressLane,2285
4421440,Pierrot,2286
4029740,Puppergeist,2287
2537020,ShelfLife: Art School Detective,2288
4180840,Shadowstone,2289
2211630,Duskers 2.0,2290
3297080,The Sisterhood Pasture: Cozy Folklore Farming,2291
4547970,Pih 2,2292
2530620,Soul Devourer,2293
864170,Midnight Horde,2294
2284190,Poglings,2296
1915870,The Blue Cat,2297
4262800,Pilot 6174: Orbital Survival,2298
1592200,EXP: War Trauma,2299
2124500,Forlorn Memories,2300
3034660,Dunebound Tactics,2301
2850290,Brightfall,2302
4784080,"Oh, My Doug!",2303
3613860,Heistline,2304
3194740,FUMEHEAD,2305
3189450,City of None,2306
3507960,Idlemancer,2307
2302770,Space Gears,2308
4073320,Funus: The Climb,2309
1223030,Ami,2310
3989550,Fallosophy,2311
2446620,Communite,2312
594230,GLITCHED,2313
2068380,SCP: Directive Nine,2314
2420800,Sol Mates,2315
1462160,Arclands,2316
4517190,DoDonPachi Resurrection Reignite,2317
3906460,The Last Flight,2318
3375110,Tiny Eden,2319
4402200,Project Tomorrow,2320
4281060,Police Officer,2321
3061730,Skateboard Knight,2322
1536790,GIANTESS PLAYGROUND,2323
2446760,YASUKE: A Lost Descendant,2324
1070500,He Who Watches,2325
