appid,title_new,rank_new,price_text_new,release_text_new
3219030,Planet Zoo 2,1858,$49.99,"Oct 13, 2026"
4657920,War Fantasy,2697,Unpriced (Coming Soon),To be announced
1876420,Northward,2967,Unpriced (Coming Soon),To be announced
3280240,Nailcrown,2989,Free,Coming soon
4498500,Kopno: Blightfall,2991,Unpriced (Coming Soon),To be announced
1693350,Stellar Valkyrie,2993,Unpriced (Coming Soon),To be announced
1846570,Sanctus,2994,Unpriced (Coming Soon),To be announced
2395960,Ice Truckers,2995,Unpriced (Coming Soon),To be announced
4018550,Cat Isle,2996,Unpriced (Coming Soon),Q3 2026
4421010,Bills Must Be Paid,2997,Unpriced (Coming Soon),July 2026
2397440,Momogatari,2998,Unpriced (Coming Soon),To be announced
270470,Portal: Alive & Kicking,2999,Free,Coming soon
