appid,title_new,rank_new,price_text_new,release_text_new
1685960,Operation Lovecraft: Fallen Doll,50,Free,Coming soon
1032980,Wild Life,221,Free,Coming soon
2173930,NTRaholic Remix,337,Free,Coming soon
2203290,KaiJu Girls,375,Unpriced (Coming Soon),2026
4739040,DISCIPLINE SIMULATOR,460,Unpriced (Coming Soon),Q3 2026
3651540,Peeping Office Worker,465,Unpriced (Coming Soon),2026
4090260,Lifeguard Holic,496,Unpriced (Coming Soon),"Sep 16, 2026"
4132480,Guilty Pleasures,592,Free,Q2 2027
1220650,My Forest Home!,617,Unpriced (Coming Soon),To be announced
1479780,Our Apartment,629,Free,Coming soon
4005870,FreshWomen - Season 3,640,Unpriced (Coming Soon),"Oct 15, 2026"
1590430,Snow Daze: Redaze,651,Unpriced (Coming Soon),To be announced
2630420,Elven Watcher,655,Unpriced (Coming Soon),Q4 2026
2130800,Hisako and Shyla,656,Free,2027
1040260,Arouse,669,Free,Coming soon
3367820,My Femboy Roommate: Special Weekend,686,Unpriced (Coming Soon),2026
4626020,Happy Ending Simulator,718,Unpriced (Coming Soon),Q4 2026
4065120,Host Club Harem - Making Every Woman Mine,727,Free,Q1 2027
4355490,Sex-Pop Demon Hunters,737,Unpriced (Coming Soon),"Sep 4, 2026"
3257270,Haunted by Femboy,740,Unpriced (Coming Soon),2026
4626070,SUPERS,781,Unpriced (Coming Soon),Q4 2026
4030000,Goddess of Death,818,Unpriced (Coming Soon),Q4 2026
2528410,Price for Freedom: Gold and Sand,821,Unpriced (Coming Soon),2026
2937940,Desert Island Debauchery: Stranded Broads and Underhanded Plots,834,Free,2027
1877490,Projekt Melody: A Nut Between Worlds,879,Unpriced (Coming Soon),To be announced
3804840,MILF's Plaza 2,886,Unpriced (Coming Soon),2026
4327690,How to Train Your Spirit: The Exorcism of a Busty Ghost,894,Free,Coming soon
3755370,Pushu Pushu! Let's rescue the girls in danger!,955,Free,Coming soon
3386780,Trials of the Demonic Seal,967,Unpriced (Coming Soon),2026
2559840,Lust Kingdom,987,Free,Coming soon
2962520,Violet Saga,1029,Free,Q2 2027
3850550,Isekai: Waifu Overlord,1031,Free,"Sep 22, 2026"
3464000,Eropsychosis: The Project Elysiara,1039,Unpriced (Coming Soon),"Sep 29, 2026"
2962470,Corruption of Belrand - Princess Knight Lysithea,1060,Unpriced (Coming Soon),Q4 2026
3048190,Bubbles & Babes,1074,Unpriced (Coming Soon),2026
3962420,Futa Slug EX,1132,Unpriced (Coming Soon),"Sep 24, 2026"
3560110,Fracture Point,1142,Unpriced (Coming Soon),"Sep 4, 2026"
2455020,Sexorcism,1151,Unpriced (Coming Soon),Q4 2026
3280240,Nailcrown,1155,Free,Coming soon
4784080,"Oh, My Doug!",1162,Unpriced (Coming Soon),To be announced
1905580,Kloa - Child of the Forest,1163,Unpriced (Coming Soon),2026
2932260,Trine 6: Together in Time,1164,Free,"Mar 4, 2027"
1531180,Lost Isle,1165,Unpriced (Coming Soon),2026
3829400,Grand Tactician: Napoleonic Wars (1792-1815),1166,Unpriced (Coming Soon),To be announced
4466940,Lost & Found,1167,Free,Coming soon
3460960,Echograph,1168,Unpriced (Coming Soon),To be announced
2440760,GRAVHOUNDS,1169,Free,Coming soon
2949750,Margin of the Strange,1170,Unpriced (Coming Soon),To be announced
2175180,Primitive,1171,Unpriced (Coming Soon),To be announced
3436160,Cao Cao's Ambition--A Harem of MILFs,1172,Unpriced (Coming Soon),Q4 2026
3306920,Cosmic Fear,1173,Unpriced (Coming Soon),"Sep 9, 2026"
4121600,Psychopomp 2,1174,Free,Coming soon
4295810,A Whisper of Fall: Jinyiwei,1175,Unpriced (Coming Soon),To be announced
