snapshot_id,captured_at_utc,rank,appid,title,release_text,price_text,game_url,page_number,position_on_page,source_url,discount_text,review_summary,image_url,platforms,tags_raw
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1771,3880400,FRUKT,Q2 2026,Unpriced (Coming Soon),https://store.steampowered.com/app/3880400/FRUKT/,71,21,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1772,2871010,VanySlash,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/2871010/VanySlash/,71,22,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1773,3607300,Pera Coda,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/3607300/Pera_Coda/,71,23,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1774,1193170,DEFICIT,Coming soon,Free,https://store.steampowered.com/app/1193170/DEFICIT/,71,24,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1775,2640920,Network Engineer Simulator,Coming soon,Free,https://store.steampowered.com/app/2640920/Network_Engineer_Simulator/,71,25,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1776,4656700,Papa's Mocharia Deluxe,"Jun 2, 2026",Unpriced (Coming Soon),https://store.steampowered.com/app/4656700/Papas_Mocharia_Deluxe/,72,1,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1777,3143530,Shadow Project,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/3143530/Shadow_Project/,72,2,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1778,3523850,Off Road Together,Coming soon,Free,https://store.steampowered.com/app/3523850/Off_Road_Together/,72,3,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1779,2431790,Cyber Paradise,Coming soon,Free,https://store.steampowered.com/app/2431790/Cyber_Paradise/,72,4,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,"win,mac",
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1780,2586440,House 2,Coming soon,Free,https://store.steampowered.com/app/2586440/House_2/,72,5,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1781,2963650,Echo: Defy Death,Coming soon,Free,https://store.steampowered.com/app/2963650/Echo_Defy_Death/,72,6,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1782,3809080,Never Wither,Coming soon,Free,https://store.steampowered.com/app/3809080/Never_Wither/,72,7,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1783,4055780,Gunship Origins,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/4055780/Gunship_Origins/,72,8,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,"win,mac,linux",
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1784,3873770,AXERAS,Coming soon,Free,https://store.steampowered.com/app/3873770/AXERAS/,72,9,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1785,2561630,Moonfrost,Coming soon,Free,https://store.steampowered.com/app/2561630/Moonfrost/,72,10,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1786,1848610,Rogue Mansion,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/1848610/Rogue_Mansion/,72,11,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,"win,linux",
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1787,2327640,Deadlock Station,Coming soon,Free,https://store.steampowered.com/app/2327640/Deadlock_Station/,72,12,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1788,993960,The Faceless Double,Coming soon,Free,https://store.steampowered.com/app/993960/The_Faceless_Double/,72,13,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1789,3002550,Shadow Sacrament: The Roots of Evil,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/3002550/Shadow_Sacrament_The_Roots_of_Evil/,72,14,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1790,3439410,HellHeart Breaker,Q1 2027,Free,https://store.steampowered.com/app/3439410/HellHeart_Breaker/,72,15,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1791,2092510,Dome-King Cabbage,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/2092510/DomeKing_Cabbage/,72,16,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,"win,mac",
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1792,2953540,Neverseas,2026,Free,https://store.steampowered.com/app/2953540/Neverseas/,72,17,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1793,2659980,V.E.D.A: The Awakening of Souls,Coming soon,Free,https://store.steampowered.com/app/2659980/VEDA_The_Awakening_of_Souls/,72,18,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1794,1991250,Automation Station,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/1991250/Automation_Station/,72,19,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1795,2427530,The Nightscarred: Forgotten Gods,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/2427530/The_Nightscarred_Forgotten_Gods/,72,20,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,"win,linux",
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1796,1171340,A.I.M. War Protocol,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/1171340/AIM_War_Protocol/,72,21,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1797,2615420,Portal: Ambition,,Free,https://store.steampowered.com/app/2615420/Portal_Ambition/,72,22,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1798,3030560,Sloppy Forgeries,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/3030560/Sloppy_Forgeries/,72,23,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=72,,,,win,
