appid,title_new,rank_new,price_text_new,release_text_new
3748520,SPRAWL zero,829,Free,Coming soon
4354570,FINAL FANTASY VII REVELATION,1416,Free,2027
4131670,Jurassic World Evolution 3: Rebirth Expansion,2869,Unpriced (Coming Soon),"Jun 16, 2026"
3946810,The seven days i spent with you,2951,Unpriced (Coming Soon),"Jun 17, 2026"
4360760,Gemini X,2961,Free,2028
3392490,Moon River,2963,Free,"Jun 19, 2026"
4576910,Dark Deity 3,2968,Free,Coming soon
2840000,Lumina Veil,2983,Free,"Jun 22, 2026"
2156800,Ithaca,2993,Unpriced (Coming Soon),To be announced
3842050,Ornelia,2994,Free,Coming soon
