appid,query,video_id,url,title,contents_preview,published_at,date_classification,evidence_type
4442710,"""Spirit Dungeon"" trailer",XLWHsc6Wies,https://www.youtube.com/watch?v=XLWHsc6Wies,Spirit Dungeon - Gameplay Trailer,Spirit Dungeon : パーティ編成×デッキ構築×オートバトル。召喚士として精霊を集め、カードを選び、深き森のダンジョンに挑む ...,2026-05-30T13:44:39+00:00,inside_extended_window,youtube_video
4442710,"""Spirit Dungeon"" trailer",ErxmqywYhQE,https://www.youtube.com/watch?v=ErxmqywYhQE,Dungeon &amp; Fighter: Spirit (KR) - Official game trailer,Game video for Dungeon & Fighter: Spirit. More info @ http://mmoculture.com/tag/dungeon-fighter-spirit/,2016-11-08T17:14:14+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" trailer",gCtAIOUK_ZQ,https://www.youtube.com/watch?v=gCtAIOUK_ZQ,Zelda: Spirit Tracks Trailer Soundscape Z.R.E.O,Trailer Soundscape Theme From Zelda Spirit Tracks Reorchestrated by Z.R.E.O. Team Visit http://www.zreomusic.com/ For More ...,2010-02-15T11:21:50+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" trailer",esRoRXnMQ2Y,https://www.youtube.com/watch?v=esRoRXnMQ2Y,Land of spirit Dungeon.,dungeon.,2021-05-02T06:04:12+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" trailer",uNP8C-pBT34,https://www.youtube.com/watch?v=uNP8C-pBT34,Zelda: Spirit Tracks Trailer Z.R.E.O,Trailer Theme From Zelda Spirit Tracks Reorchestrated by Z.R.E.O. Team Visit http://www.zreomusic.com/ For More Zelda ...,2010-02-15T11:07:22+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" gameplay",XLWHsc6Wies,https://www.youtube.com/watch?v=XLWHsc6Wies,Spirit Dungeon - Gameplay Trailer,Spirit Dungeon : パーティ編成×デッキ構築×オートバトル。召喚士として精霊を集め、カードを選び、深き森のダンジョンに挑む ...,2026-05-30T13:44:39+00:00,inside_extended_window,youtube_video
4442710,"""Spirit Dungeon"" gameplay",ka4almi-rTw,https://www.youtube.com/watch?v=ka4almi-rTw,Spirit Dungeon Gameplay Steam - DEMO,Spirit Dungeon Gameplay Steam - DEMO #SpiritDungeon #SpiritDungeongameplay Spirit Dungeon Full Size : 527 M Language ...,2026-03-11T15:07:00+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" gameplay",esRfegim4I0,https://www.youtube.com/watch?v=esRfegim4I0,Spirit Dungeon Demo Gameplay (PC) | Roguelike Deckbuilding Indie – Sem Comentários,"Gameplay da demo de Spirit Dungeon, um RPG roguelike indie com mecânicas de deckbuilding e estratégia. Neste gameplay ...",2026-03-12T23:45:01+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" gameplay",DM9sXZw1ZO4,https://www.youtube.com/watch?v=DM9sXZw1ZO4,Dungeon Spirit | HD | 60 FPS | Crazy Gameplays!!,SUBSCRIBE NOW!! NEW CRAZY GAMEPLAYS DAILY!! Dungeon Spirit | HD | 60 FPS | Crazy Gameplays!! This game is a first ...,2022-02-08T13:54:35+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" gameplay",yrdX7JcuFQo,https://www.youtube.com/watch?v=yrdX7JcuFQo,Dungeon Fighter Spirit KR CBT Gameplay ( Android ) 1st Hour Part 1,,2017-03-09T09:06:38+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" demo",DLaj1SCxVTs,https://www.youtube.com/watch?v=DLaj1SCxVTs,"Spirit Dungeon Demo (Nemora Games, 2026, Steam)","https://store.steampowered.com/app/4442710/Spirit_Dungeon/ Party building × deckbuilding × auto battle. Collect spirits, choose ...",2026-04-01T03:00:42+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" demo",ka4almi-rTw,https://www.youtube.com/watch?v=ka4almi-rTw,Spirit Dungeon Gameplay Steam - DEMO,Spirit Dungeon Gameplay Steam - DEMO #SpiritDungeon #SpiritDungeongameplay Spirit Dungeon Full Size : 527 M Language ...,2026-03-11T15:07:00+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" demo",UGFj44QsP74,https://www.youtube.com/watch?v=UGFj44QsP74,[新品節26/06] Spirit Dungeon  Demo 遊戲試玩,https://store.steampowered.com/app/4442710 遊戲Steam連結影片拍攝時，其預定在2026 年6 月26 日推出完整版.,2026-06-17T16:00:21+00:00,inside_extended_window,youtube_video
4442710,"""Spirit Dungeon"" demo",esRfegim4I0,https://www.youtube.com/watch?v=esRfegim4I0,Spirit Dungeon Demo Gameplay (PC) | Roguelike Deckbuilding Indie – Sem Comentários,"Gameplay da demo de Spirit Dungeon, um RPG roguelike indie com mecânicas de deckbuilding e estratégia. Neste gameplay ...",2026-03-12T23:45:01+00:00,outside_window,youtube_video
4442710,"""Spirit Dungeon"" demo",eeC6GWG2VD8,https://www.youtube.com/watch?v=eeC6GWG2VD8,Spirit Dungeon  Demo - 2026년 6월 스팀 넥스트 페스트,6월 26일 출시라서 그런지 잘 만들어져있어요 번역은 크게 문제없지만 조금 다듬어야해요 설정은 볼륨만 건들고 기본상태로 진행 ...,2026-06-17T03:00:19+00:00,inside_extended_window,youtube_video
