appid,title_new,rank_new,price_text_new,release_text_new
2309440,Combat Champions,1848,Unpriced (Coming Soon),To be announced
4631110,Trashy Cashy,2349,Unpriced (Coming Soon),"Jun 24, 2026"
2837780,KARJALA,2362,Unpriced (Coming Soon),"Jun 23, 2026"
4162290,OK👍 Boomer,2377,Unpriced (Coming Soon),"Jun 24, 2026"
4542210,War Room: Tactical Sandbox,2387,Unpriced (Coming Soon),"Jun 29, 2026"
4315550,The Carcass,2397,Unpriced (Coming Soon),"Jul 3, 2026"
3924280,Pat the Cat,2406,Unpriced (Coming Soon),"Jun 25, 2026"
2743810,Kudo’s Kuppa,2411,Unpriced (Coming Soon),"Jun 22, 2026"
2783360,Age of Empires Mobile: PC Edition,2421,Free,"Jun 23, 2026"
4562150,How To Grow a Black Hole,2424,Unpriced (Coming Soon),"Jun 23, 2026"
