appid,title_old,rank_old
4227400,Sineus Arena Survivors,666
2742710,Cozy Cleaner,715
3759220,Pawsome Resort,872
3639470,Besiege: The Broken Beyond,1322
2912550,Dark Scrolls,1363
2371430,Lavrock：Last Fortress,2417
2495730,Provoron,2419
3818770,SuperWEIRD: Automation Roguelite,2420
3040020,N PLUS INFINITY TIMES TWO,2422
1730460,Nainai’s Recipe,2424
3187240,Voice Changer AI Engine,2425
2360820,Tempus Vitae,2426
3925750,Generic Fighter Maybe,2427
4097280,Resonant Q,2429
3157290,The Wicker Devil,2430
4113050,Wabisabi SushiDerby,2431
2607420,Cat Life Simulator,2432
3593660,Chain-Chillas,2433
1151300,Lumbermill,2434
3010170,Fangtopia,2435
3334170,Tales of Tuscany,2436
3746290,Werewolf: The Apocalypse – Rageborn,2437
3509400,A Heavy Morning,2438
3907830,Car Crime Simulator,2439
2244780,Abyss World : Apocalypse,2440
4296370,Every Wednesday,2441
1339490,American Camper Simulator,2442
4300400,Adventurers Shop,2443
3222280,Infinitory,2444
3258590,Void Dungeon,2445
3715040,DekaDuck,2446
3363050,Piñata Puppy World,2447
4414110,WATERFUL: a tiny oasis builder,2448
2007430,Blast Cats,2449
