appid,title_old,rank_old
4123930,Soverain: An Eternal Legend,1549
3541250,Welcome to Brightville,1551
2897710,Truck Manager,1552
3919810,Moulder,1553
2027030,Power Drill Massacre,1554
2789020,Hibernaculum,1556
3832030,BOOST VECTOR EX,1557
2275750,Ascendance,1558
942220,Ambulance Simulator,1559
3484950,AfterQuest,1560
1356250,Airport Renovator,1561
905240,Street Tuning Evolution,1562
4421670,The Kingsward,1563
4096150,KinForge,1564
3822320,Dream Hollow,1565
4521700,The Miner Was Replaced,1566
2115210,URBANO - Legends' Debut,1567
2152570,Noble,1568
3424910,Mushroom Hunter Simulator,1569
1019932,Dark Deception Chapter 5,1570
3103620,Witch the Showdown,1571
4423580,Shadow Dungeon,1572
3938640,Ugoku Sushi Bar,1573
2629710,Rift: Genesis,1574
1318190,Gladiators Manager,1575
