appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
3765010,Forensics: Crime Scene Detective,Forensics: Crime Scene Detective,2710,2529,181,181,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 13, 2026","Jul 13, 2026",False
4183580,Stationbreak,Stationbreak,2389,2216,173,173,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3946810,The seven days i spent with you,The seven days i spent with you,2301,2181,120,120,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 17, 2026","Jun 17, 2026",False
4156710,Coin Maker Simulator,Coin Maker Simulator,2373,2256,117,117,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
2489950,Tales Of Wakana,Tales Of Wakana,2422,2317,105,105,up,upward_spike,Unpriced (Coming Soon),Free,True,"Jun 15, 2026",Coming soon,True
4225250,DarkBazaar,DarkBazaar,2406,2315,91,91,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q3 2026,Q3 2026,False
1818470,Desolation Seed,Desolation Seed,2976,2885,91,91,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 22, 2026","Jun 22, 2026",False
4293910,XenoFeels,XenoFeels,1468,1385,83,83,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3975500,Poem of the Starherd,Poem of the Starherd,2982,2899,83,83,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 19, 2026","Jun 19, 2026",False
3749720,The Division Resurgence,The Division Resurgence,2872,2795,77,77,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4117730,Slayblade,Slayblade,1274,1198,76,76,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4131670,Jurassic World Evolution 3: Rebirth Expansion,Jurassic World Evolution 3: Rebirth Expansion,2227,2152,75,75,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 16, 2026","Jun 16, 2026",False
4138920,Aliya: Timelink2 Dawn,Aliya: Timelink2 Dawn,2434,2363,71,71,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3333380,Dungeon Hotpot,Dungeon Hotpot,2272,2207,65,65,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3392490,Moon River,Moon River,2625,2560,65,65,up,upward_spike,Free,Free,False,"Jun 19, 2026","Jun 19, 2026",False
