appid,title_old,rank_old
3939700,Treasure Beach,1047
2284840,Across the Wilds,2517
3846900,Sword Sage: Awakening,2519
487500,fault - SILENCE THE PEDANT,2521
2755950,Tidebound,2522
2540650,Keyframes,2523
1285050,Noah's Ark,2524
4768180,Cronos: Lazarus,2525
2706660,Dragon survival,2527
3202220,Aldian of Ancients,2528
4712630,In The Drift,2529
3897280,Totopia,2530
4157110,Terminator: Dark Fate - Defiance: Evolution,2531
2706790,Quantic River,2532
3888420,Kumarn: The Wandering Spirit,2533
2121640,The War in Chiapas,2534
4031300,WORLD WAR V: LAST CALL,2535
2791970,Delivery Driver Service,2536
3906360,Everhood Hunters,2538
2197240,Exiler,2539
247710,Battledroid,2540
4198610,A Fighter’s Nova: Mindara,2542
3116700,Reap and Rush,2543
1931930,Wrekless™,2544
1464330,I am Your Lawyer,2545
2560210,Astromeda,2546
1388270,Effigy,2547
1015370,eXpanSIM,2548
2136340,KAKURIYO,2549
