created_at_utc,timestamp,appid,game_title,provider,model,status,folder_path,input_file,output_path,error,duration_sec,response_length
2026-07-09T15:32:39.387058+00:00,20260709_153239,4210580,Ore Factory Squad ⛏️,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-09__appid_4210580__rank_1135_to_1050__up_85,data/spike_explainer/2026-07-09__appid_4210580__rank_1135_to_1050__up_85/llm_summary_input.md,data/spike_explainer/2026-07-09__appid_4210580__rank_1135_to_1050__up_85/llm_outputs/gemini_20260709_153239.md,,34.56,7226
2026-07-10T04:01:02.746881+00:00,20260710_040102,4210580,Ore Factory Squad ⛏️,gemini,gemini-2.5-flash,error_api_failure,data/spike_explainer/2026-07-10__appid_4210580__rank_1050_to_962__up_88,data/spike_explainer/2026-07-10__appid_4210580__rank_1050_to_962__up_88/llm_summary_input.md,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",0.0,0
2026-07-10T14:51:06.811546+00:00,20260710_145106,4210580,Ore Factory Squad ⛏️,gemini,gemini-2.5-flash,error_api_failure,data/spike_explainer/2026-07-10__appid_4210580__rank_962_to_918__up_44,data/spike_explainer/2026-07-10__appid_4210580__rank_962_to_918__up_44/llm_summary_input.md,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",0.0,0
2026-07-11T03:27:04.709114+00:00,20260711_032704,4210580,Ore Factory Squad ⛏️,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-11__appid_4210580__rank_918_to_875__up_43,data/spike_explainer/2026-07-11__appid_4210580__rank_918_to_875__up_43/llm_summary_input.md,data/spike_explainer/2026-07-11__appid_4210580__rank_918_to_875__up_43/llm_outputs/gemini_20260711_032704.md,,27.19,5274
2026-07-11T13:50:29.045968+00:00,20260711_135029,4210580,Ore Factory Squad ⛏️,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-11__appid_4210580__rank_875_to_841__up_34,data/spike_explainer/2026-07-11__appid_4210580__rank_875_to_841__up_34/llm_summary_input.md,data/spike_explainer/2026-07-11__appid_4210580__rank_875_to_841__up_34/llm_outputs/gemini_20260711_135029.md,,17.3,5447
2026-07-12T03:38:15.019967+00:00,20260712_033815,4210580,Ore Factory Squad ⛏️,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-12__appid_4210580__rank_841_to_796__up_45,data/spike_explainer/2026-07-12__appid_4210580__rank_841_to_796__up_45/llm_summary_input.md,data/spike_explainer/2026-07-12__appid_4210580__rank_841_to_796__up_45/llm_outputs/gemini_20260712_033815.md,,19.06,6193
2026-07-12T13:50:21.477537+00:00,20260712_135021,4163030,Cat Chess,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-12__appid_4163030__rank_743_to_702__up_41,data/spike_explainer/2026-07-12__appid_4163030__rank_743_to_702__up_41/llm_summary_input.md,data/spike_explainer/2026-07-12__appid_4163030__rank_743_to_702__up_41/llm_outputs/gemini_20260712_135021.md,,26.73,6276
2026-07-13T03:42:22.069608+00:00,20260713_034222,3714000,Rogue Carrier,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-13__appid_3714000__rank_1242_to_1164__up_78,data/spike_explainer/2026-07-13__appid_3714000__rank_1242_to_1164__up_78/llm_summary_input.md,data/spike_explainer/2026-07-13__appid_3714000__rank_1242_to_1164__up_78/llm_outputs/gemini_20260713_034222.md,,26.56,6821
2026-07-13T14:56:36.580215+00:00,20260713_145636,3738830,Bodycam Onrecord,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-13__appid_3738830__rank_1085_to_1004__up_81,data/spike_explainer/2026-07-13__appid_3738830__rank_1085_to_1004__up_81/llm_summary_input.md,data/spike_explainer/2026-07-13__appid_3738830__rank_1085_to_1004__up_81/llm_outputs/gemini_20260713_145636.md,,22.43,5718
2026-07-14T03:04:53.152249+00:00,20260714_030453,3738830,Bodycam Onrecord,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-14__appid_3738830__rank_1004_to_901__up_103,data/spike_explainer/2026-07-14__appid_3738830__rank_1004_to_901__up_103/llm_summary_input.md,data/spike_explainer/2026-07-14__appid_3738830__rank_1004_to_901__up_103/llm_outputs/gemini_20260714_030453.md,,16.31,5405
