appid,title_old,rank_old
3453910,Happy's Humble BURGATORY,962
3814270,Froggy Brews,1822
988960,Silenced,1823
2014520,Tails of Fate,1825
2628450,Times of Progress,1826
4203890,Pirate Panic!,1827
2352230,Little Big Adventure - Purple Empire,1828
2864310,Forest Hills: The Last Year,1830
1449820,Police Interceptors,1831
3516660,WORK WORK WORK,1832
1040240,Transformice Adventures,1833
1965550,Wildaria,1834
3004280,World of Magic: Rise of Magic,1835
1537440,Bosslords,1836
2999040,Times of Survival,1837
4683590,Pale Tide,1838
4055780,Gunship Origins,1839
2704090,Celestial Return,1840
3251280,Rivals Hover League,1841
3523850,Off Road Together,1842
2383240,Ecumene Aztec,1843
3855850,Agent of Strange,1844
4516190,"My Beautiful Faraway, Please Don't Be Cruel To Me",1845
4184400,METAL GEAR SOLID 4: Guns of the Patriots - Master Collection Version,1846
1721590,DEATHGRIP,1847
1689340,Island of Winds,1848
2493130,Train Planet,1849
2309440,Combat Champions,1850
2541930,Cozynauts,1851
4139200,Prism 2033,1852
2537980,Drăculești,1853
1865770,Ragnarok V: Returns,1854
1697770,Doodle God Universe,1855
3345260,Empire in Decay,1856
4644870,Green Mist over Portland,1857
4775410,Jeffrey Eggstein,1858
2477710,Nimbit Frontier,1859
3866080,Stick A Round,1860
2358630,Western Rye,1861
1236170,The Fold: Ingression,1862
2117160,Dead Age: Survivors,1863
2578180,Save the Villainess: An Otome Isekai Roleplaying Game,1864
2219390,Imperial Ambitions,1865
1345450,Phantom Doctrine: The Cabal,1866
4290680,Flock of the Seraphim,1867
3423990,Frozen Ship,1868
4549500,Sleepover,1869
1983910,Prison Survival: Architect of Crime Simulator,1870
1043460,Anchor,1871
4421010,Bills Must Be Paid,1872
4188680,Walled Haven,1873
3130880,Solaria,1874
2259590,Arcticide,1875
1823300,Untamed Isles,1876
3275210,Pionero Capital,1877
3045530,HEAVY AS STONE,1878
2597200,Across the Wonderlands,1879
2814880,Synchro,1880
1858700,Grey Eminence,1881
1425660,SCP : Forgotten Facility,1882
3789230,Kalit,1883
2079920,NAME OF THE WILL,1884
3260240,Drivers of the Apocalypse,1885
3297110,Anemorie,1886
3002550,Shadow Sacrament: The Roots of Evil,1887
2904640,Click Click Dig: Idle Mine,1888
2861730,Food Devils,1889
1502460,B-17 Squadron,1890
1123240,Greyskin,1891
2271150,Loya,1892
2427530,The Nightscarred: Forgotten Gods,1893
4353330,Rinthine,1894
3508910,Abyss Kitchen,1895
3594530,Ghost Haunting,1896
3749720,The Division Resurgence,1897
3151140,Shelf Heroes,1898
3845070,Dupery: A Game of Solo Deduction,1899
1818470,Desolation Seed,1900
